a cote de    ya panga a
esprits    matengue
essuyer    ghokoulo
estomac    ifoundou
etable    ivanga
eteindre    djimoussa
s'eteindre    djima
etendre    sokala
etendue    itetele
eternuer    sa  batche
etirer    nonoussa
s'etirer    nonogho
etoile    mvoulili
etoiles    bamvoulili
etre etonne    kemogha
s'etonner    kema
etouffer    ikiba
etranger    ndjindza
etre    ba
etre a cote de    ba ya panga a
etre accable    yila
etre allume    nama
s'etre allume    ya nama
etre aveugle    wa vela missa
etre colle    katouna
etre d'accord    chinga
etre d'accord    yaghala
etre en bonne sante    ba boubwe
etre enfermé    ba benda
etre ferme    ba benda
etre fort    li  napindza
etre gonfle    bimba
etre pourri    chi ya bole
etui pour couteau    issoupou
s'evanouir    kwada  cha niamba
evanouissement    niamba
eviter    bakala
expliquer    vanga lele
explorateur    moukoti
explorer    koto
expres    mouteba
extraire    possa
fable    lessaba
se facher    kambagha
se facher    kambougha
fade    podi
faible    volo
faiblesse    kolo
faim    ndzala
faire    sada
faire    sa
agir    sa
faire accoucher    botessa
faire allusion    louta moughoudou
faire boire    niodosso
faire chauffer    leke
faire confiance    sa moutema
faire confiance    sa chia chita
faire confiance    sa tsongo
faire connaissance    yaboussa
faire creuser    touma vaka
faire croire    chingassa
faire cuire    lamba
faire du commerce    somboussa
faire fondre    sonoussa
faire fondre    sola
faire gonfler    randoussa
faire grincer    ghwekesse
faire l'appel    te
faire monter quelqu'un    kokoussa
faire peur    sa bomo
faire pleuvoir    noghousso
faire rassembler    kokoussa
faire remplir    loloussa
faire ressembler    fwanoussa
faire signe    vesse
faire tomber    raghassa
faire tourner    djenguesse
famille    ngagha
famine    ipenga
fantome    moukouyi
fantomes    mikouyi
fatigue    roko
fatigue extreme    dzoughou
fatiguer quelqu'un    rokousso  moutou
faux    mala
felicitations    maloumbi
feminin    moukedi
femelle    moukedi
femke mariee    moukassa
femme mariee    ba kwele
femme mariee    moukedi
femme qui allaite    moukassa  wouve mabele
femmes mariees    bakedi
fendre    passa
fendre un arbre    passa mouti
fermement    moutema lekama
fermement    kamou
fermer    djibougha
se fermer    indjibighi
fermeture    ibindili
fertile    lebolo
fesse    letagha
fesses    matagha
fetiche    ndjobi
fetiche    ngoyi
fetiche    ilongo
fetiches    bilongo
feu    mbwagha
feuille    lekaya
feuille de cahier    pepi
feuille de papier    issangangoubou
feuilles    makaya
feuilles d'arbres    maka ya mouti
fiance    mbaka
fiances    bambaka
fidelite    tchimi
fidelites    matchimi
figure    pandza
fil    mengue
filaire    tsosso
filet de chasse    lichinga
filet de peche    leriki
finir    fwa
finir    mana
flacon    tsedi
flacon    iponga
