a cote de    ya panga a
arbalète	njedi
peindre	noga
pleuvoir	nogho
faire pleuvoir	noghouchi
faire pleuvoir	noghousso
adolescente	nomba
chat-huant	nombo
vernir	nonga
concilier	bonguichi
se détendre	nonogho
s'etirer	nonogho
se détendre	nonogho
etirer	nonoussa
vieillir	nounou
preter	nwanoussa
mince!	o!
malédiction	ouchiboula
ancienneté	oudjinga
succession de choses	oukdoukounou
amont	oukegha
ancien	oundjinga
chagrin	ouroungou
idée	outassa
arrêt	outchika
dedans	outso
intérieur	outso keti
resine	pagha
juger	paghala
instrument pour sculpter	paka
tailler une statuette	paka
rival	pala
maratre	pala ngwa we
bouteille	pamba
faire peur	pamouna
s'epanouir	pandougha
defoncer	pandoula
figure	pandza
reflechir	pandza
côte	panga
bord	panga
être à côté	u ba panga
debrouille-toi!	papada!
debrouille-toi!	papadanga!
se blottir	papana
fendre	passa
fendre un arbre	passa mouti
cligner des yeux	patala cha missa
blatte	pechi
cafard	pechi
vengeance	pela
caresser	pele
pains	pembe
arachides	penda
rancune	penda
vagin	pene
menton	pengue
sac	pengue
distance	penguidi
écart	penguidi
tasser	pepe
cahier	pepi
feuille de cahier	pepi
moins	pesa
peu	pesa
moins bon	pesa boubwe
peu a peu	pesa na pesa
soif	peyi a
hâche	pibi
vipàre	pili
brousse inhabitée	pinda
mûrir	pinda
brousse habitée	pindi
forêt vierge	pindi
s'obscurcir	pindoussa
noircir	pindoussa
force physique	pindza
plaie	pingui
presser	pinia
marchander	pinia
sucer	pipa
tirer une flèche	pissala lebechi
marque	pita
couleur	pita
manioc	pita
cascade	poba
chute	poba
fade	podi
cadenas	pogho
sortir	pola
se sortir d'affaire	pola outso djamba
paix	polo
surgir	poloula
apparaître	poloula
huit	pombo
hotte	pondji
panier	pondji
sauterelle	popa
se debattre	popa
consoler	popichi
bercer	popichi
bercer un enfant	popichi kwana
éphémère	popogho
secouer	popoussa
enlever	possa
sortir	possa
extraire	passa
retirer	passa
sortir	passa
transpirer	passa cha ndzounguili
vider un sac	passa chia twa pengue
avorter	passa djiki
enrouler dans quelque chose	poto
liberer	potolo
sauver	potolo
caprice	potso
rat	poughou
gabon	poungou
univers	poungou
poumon	poupoudou
le maïs	poutou
tomber	ragha
tomber du ciel	ragha a mata ghou youlou
faire tomber	raghassa
s'enfler	randa
enfler	randouna
grossir	randouna
se glonfer	randouna
faire gonfler	randoussa
faire attention	rembbla
se raidir	rembougha
patienter	remboussa
la fatigue	roko
être fatigué	roko
mepriser	rokolo
mepriser quelqu'un	rokolo na moutou
fatiguer quelqu'un	rokousso moutou
remplir	roudassa
être triste	roungou
se precipiter	roungou
faire	sa
agir	sa
éternuer	sa batche
faire peur	sa bomo
s'enteter	sa boudounda
rivaliser	sa cha ipala
faire confiance	sa chia chi ta
faire confiance	sa chi ta
souffler en tempête	sa ikoungou
remercier	sa lebwe la moutou
faire l'orgueilleux	sa madzanga
bouder	sa madzanga
rouspeter	sa mandzanga
salir	sa mbinda
palabrer	sa missosso
etre en tas	sa mou biboutou
semer la pagaille	sa moupogha
faire confiance	sa moutema
esperer	sa moutema
se depecher	sa na moukassa
forcer quelque chose	sa fendza
esperer	sa si tou
donner la honte	sa tsogni
faire confiance	sa tsongo
esperer	sa tsongo
ignorer	sa yaba ve
je baille	sa miassala me
faire traverser	saboussa
traverser une rivière	sabagha ndzeli
menace	sada
faire	sada
servir	sada
servir le repas	sada bia ndzala
bourrer une pipe	sada cha ivolo outso chindza
chercher	sagha
vouloir	sagha
nettoyer la plantation	saghala nioungui
debrousser	saghala
rester	sala
rester seul	sala cha boutoubou
rester dans un endroit	sala cha i itsegha
six	samouna
changer	sandza
ricaner	sebe
rire	sebe
verser dans un verre	seghele
gronder	sembe
reprocher	sembe
glisser	seneghe
se reveiller	sogra
caler	soka
versant	sokono gwa moukoudi
s'allonger	sokougha
allonger	sokoula
étendre	sokala
faire fondre	sola
reveiller quelqu'un	sola cha moutou
choisir	solo
debrousser	solo
debrousser la plantation	solo nioungui
acheter	somba
tenter quelqu'un	sombo
séduire	sombo
emprunter	sombo
commerce	somboussa
faire du commerce	somboussa
vendre	somboussa
endre beaucoup	somboussa mouleghi
etre pris sur le fait	somagha
douceur	sonda
provoquer	songo
juger	songoussa
faire fondre	sonoussa
deposer	sossa
porter plainte	sosso
surprendre	sougassa
mettre	soussa
placer	soussa
poser	soussou
cacher	sweghe
cacher quelque chose	sweghe chela
se cacher	sweme
silence	swi
silencieux	swi
mouton	taba
chèvre	taba
compter	tala
regarder	tala
jouer	tamba
oublier	tamboussa
tante paternelle	tamoukassa
amont	tanda
monter à brazaville	tanda brazaville
durée	tanga
lire	tangana
couvercle	tapa
penser	tassa
reflechir	tassanga
père	tata
prononcer	tata
reparler à quelqu'un	tata cha moutou
parler à quelqu'un	tata cha moutou
tante paternelle	tatamoukassa
selle	tchibi
boucle d'oreille	tchika
arrête!	tchika!
s'arreter	tchika
hesiter	tchikouna
regretter	tchika
ephemère	tchimba
fidélité	tchimi
mauvaise pensée	tchimi yibi
penser	tchimana
dedans	tchina
chambre	tchina a ndzo
pièce du fond	tchinandzo
chambre à coucher	tchinandzo
pousser	tchindougha
pousser un objet	tchindougha cha chela
pou	tchina
brancard	tchipoyi
assez	tchitsa
suffisant	tchitsa
juste	tchitsa
poisson	tchwi
faire l'appel	te
draguer une femme	te moukassa
directement	te ghou
trembler	tebe
appeler	tede
serpent	tedi
tendre un piege	teghe mouramba
percuter	tela
poser sur	temba ghouyoula
poser sur	temba ghouyoulou a
debout!	temoune!
se lever	temoune
jusqu'à aujourd'hui	tena lalo
jusqu'au soir	tena moukolo
inscrire	tende
écrire	tende
myope	tendi
faire inscrire	tendousse
lit	tengui
consulter le guerisseur	tesse nganga
soupçonner	tessele
jeter	tete
aplanir	tetesse
papa	teyi
tranquillité	ti nga
pitié	tinga
pour que	to
alors	to yana
transmettre	tochi
rechauffer	tochili
demenager	toda
pouvoir	togha
injurier quelqu'un	togha chia moutou
pouvoir	toghala
bouillonnement	togho
bouillonnement de l'eau	togho gwa mamba
insulter	toghana
piler	toko
piler le manioc	toko bapita
se tromper	tokouno
tromper	tokousso
tromper quelqu'un	tokousso moutou
cueillir	tolo
recolter	tolo
commander	toma
silure	tombi
inondation	tonda
quelle importance?	tondi na ?
sans raison	tondi ve
aimer	tondo
préférer	tondo
désirer	tondo
sangsue	tonga
conduire quelqu'un	tosso
transmettre une nouvelle	tossa tsanga
terre	toto
dire le nom	touba
moustique	toubou
transpercer	toubou
percer	toubou
abandon	toukou
abandonner	toukou
achever quelqu'un	toukoulou
piège à trou	touli
poitrine	toulou
ravitailler	touma biela
faire creuser	touma vaka
tisser	tounga
vin de palme	toutou
cracher	toutoulou late
poursuivre	toutoulou
s'installer	tsaghala
installer	tsaghoussa
plume	tsala
appat	tsala
sept	tsamba
détruit	tsamouna
détruire	tsamouna
anéantir	tsamouna
pagne	tsanda
tard	tsanga
message	tsanga
nouvelle	tsanga
peigne	tsatsa
se peigner	tsatsa
proverbe	tsatsaba
petit clou	tsede
flacon	tsedi
atanga	tsegha
savane	tseghe
accoster	tseke
bravo!	tsembi!
nettoyer	tsekasse
pays	tsengue
region	tsengue
pied d'une table	tsodi
replanter	tsoghala
bruler la plantation	tsoghou nioungui
honte	tsogni
laver	tsoka
bouger	tsoka
diviser	tsoko
semer la zizanie	tsoko
manger le matin	tsoko cha kokolo
secousse	tsokouna
secouer	tsokouna
secouer	tsokoussa
deplacer quelque chose	tsokoussa
bouger	tsokoussa
hocher la tête	tsokoussa cha moutswe
hocher la tête	tsokoussa moutswe
agiter	tsokassa
agiter	tsokoussa
couler	tsolo
bout	tsombo
entrée au village	tsombo bola
lieu d'aisance	tsomo
moyen	tsongo
espoir	tsongo
pas moyen	tsongo ve
aiguille	tsongui
piqure!	tsongu!
se hater	tsopa
filaire	tsosso
vagin	tsoto
démangeaison	tsotso
motif	tsotso
cheveux	tsoughi
bruler	tsoughou
enfoncer	tsoukoulou
forger	tsoulou
source	tsoungou
foule	tsoussou
claudiquer	tsoutsoughou
apporter	tswala
marche!	tswe!
marchons!	tswe nda gni!
piocher	vaka
creuser	vaka
tailler	vala
tresser	vanda
corriger	vanga
remodeler	vanga
dresser une table	vanga
preparer	vanga
preparer les medicaments	vanga cha miti
expliquer	vanga lele
monter	vata
donner	ve
nommer	ve koumbou
procurer	vede
sauter	vede
jeter	vede
procurer à quelqu'un	vede cha moutou
il est absent	ndè na vele
manquer	vele
tu peux tres bien	vessa kondo ve
faire signe	vesse
avorter spontanement	vesse
lecher	vete
panthère	vevi
cuit	viada
cuire	viadoussa
hair	vida
être bredouille	vida
serrer	vika
tasser	vika
aller jusqu'au bout	vikassa
faible	volo
respiration	voma
pause	voma
souffle	voma
se reposer	voma
supplier	vondo
demander	vondo
mendier	vondo
demander des comptes	vondo cha missama
se disputer	vovo
parler bien	vovo na bwedi
neuvième	wa
neuf	wa
ivresse	wa kolo mala
premier	wa tsomi
vert	wa ve kania
pas mechant	wa vela kechi
innocent	va velnadjamba
murmurer	wadana
tu	we
toi	we
sans toi	we be
sans toi	we ve
si tu n'es pas...	we ve ba...
se moquer	wele
maudit	wou balogho
plante veneneuse	woulou
sur le point de	ya
ici	ya
devenir	ya
jaune	ya bengue
rouge	ya bengue
pourri	ya bolo
être gaspillé	ya boungana
devant	ya boussou bwa
blanc	ya foukou
à la place de	ya itsegha cha
au même moment	ya ketia ya
mou	ya kolo
plein	ya lola
en public	ya missa mia bata
au milieu	ya moutema
là-bas	ya na
être allumé	ya nama
s'être allumé	ya nama
à côté de	ya panga a
près de	ya panga a
entre	ya penguidi
different de	ya sandza na
net	ya songouna
au pied de	ya tchina a
en bas de la montagne	ya tchina a moukoudi
être mûr	ya yele
connaître	yaba
faire connaissance	yaboussa
faire connaître	yaboussa
avouer	yaghala
mettre d'accord	yaghala
être d'accord	yaghala
prompettre	yaghana ndagha
repondre	yaghoula
autrefois	yakala
chanvre	yamba
zézayer	yambala ya youlou a lalimi
parler au dessus de la langue	yambala ya youlou a lalimi
aider	yamoussa
viens!	yanga!
s'accorder	yebene
mesurer	yebousse
semer à la volée	yede
imiter	yeghoule
allez!	yendagni!
va!	yende!
pars!	yende!
partir	yende
marcher	yende
descendre à	yende ghou
ramper	yende mou lebeli
aller et venir	yende na u ya
il y aura	yi ka ba
il y a	yi li
sortie	yi poulili
voler	yiba
s'emparer	yiba
être accablé	yila
accabler	yila
accabler	yiloussa
pouls	yima
palpitation	yima
tatouage	yimanga
obéir	yimboussa
respecter	yimbouss
se verser	yita
vider	yita
verser	yitoula
baigner	yobichi
se baigner	yobo
se laver	yobo
sauver	yobolo
peler	yobougha
peler	yoboula
sentir	yogha
comprendre	yogha
sentir une odeur	yogha cha tsoulou
ecouter	yoghoula
interpreter	yokala
faire cuire dans un paquet	yossa
ciel	youlou
zenith	youlou moutswe
caméléon	youmbouloukouyi
adorer quelqu'un	youmoussou
importuner quelqu'un	youngassa moutou
