écorce	dikuku (ma)
toiser	dikule
l'avion	dikumbi (ma)
fusée	dikumbi
tourterelle	dikunde (ma)
sorcellerie	dikundu
poteau	dikutu (ma)
bouchon	dilàbuge (ma)
danse	dilambe (ma)
taro	dilange (ma)
ivresse	dilangi (ma)
insolence	dilènze
fou	dilàgu (ma)
hameçon	dilobe (ma)
papaye	dilolu (ma)
gagner	dile
réussir	dile
conseil	dilongi (ma)
trou	dilute (ma)
pierre	dimañi (ma)
caillou	dimañi
rocher	dimañi
frapper	dimbe
village	dimbu (mi)
grossesse	dimi (mi)
brouillard	dimungi
nom	dine (mi)
chose ou personne ratatinée	dingènde
vérité	dingènze (ma)
chose vraie	dingènze (ma)
vin de palme	dingibe (ma)
hanche	dingundu (ma)
bruit distinctif	dingungu (ma)
mouche	diñiki (ma)
boite en métal dinonge :amitié	dingongu (ma)
dent	dinu (mi)
fourche de branche	dipaku (ma)
sortie	dipalulu (ma)
aile d'oiseau	dipapi (ma)
marais	dirambe (ma)
fesse	dirangi (ma)
bouton	diroki (ma)
concubine	dironde (ma)
sueur	dirugeme
débarcadère	disabu (ma)
épaule	disambeke (ma)
rasoir	disambi (ma)
poumon	disàngu (ma)
nœud d'une corde	disite (ma)
épilepsie	disière
œil	disu (mi)
adultère	disonge (ma)
têtard	ditage (ma)
pensée	ditase (ma)
salive	ditéji (ma)
revenant	ditèngu (ma)
tache	ditodi (ma)
larme	ditsange (ma)
audace	ditsatselangi
huppe d'oiseau	ditsutse (ma)
sangsue	ditu (ma)
oreille	dituji (ma)
banane pilée	dituke (ma)
bagarre	ditumbe (ma)
bonnerécolte	divare
jumeau	divase (ma)
taon	divégu (ma)
rafale de pluie	divémbili (ma)
calvitie	divènde (ma)
flanc	divési (ma)
tête rasée	diviolu (ma)
haine	divésu (ma)
guerre, combat	divite
ville	divule (ma)
furoncle	divumbu (ma)
gosier	divuvu (ma)
jalousie	diwavi
futaie de branchage	diwanzi (ma)
mariage	diwèle (ma)
désobéissance	diwème
heure	diwèru (ma)
filaire dans l'œil	dobe
ôter	dobule
picorer	dode
commenter	dodise
examiner	dodimine
cueillir	doke
observer de loin	dokimine
cueillir	dokule
approfondir	donze
rêver	dore
bégaiement	dubabele
rotin	dubambe (mba)
fosse	dubile
aubergine	dubolongu (mbo)
tissu en raphia	dubongu
la mort	dufu
prix	dufunu (ma)
feuille	dugaji (ma)
pustule de gale	dugane (bak)
barrière à pièges	dugange (ka)
médisance	dugélu
cil	dugongi (ko)
crapaud	dugoru (ko)
bégaiement	dugugeme
dalle de roche plate	dugunge
injure imprécatoire	dugungu (ku)
tique d'animal	duguve (ku)
suivre	duke
pangolin	dukabonu (kam)
insomnie	dukande
crochet	dukonduku (ko)
écureuil volant	dukuji (ku)
place du village	dulombili
cour	dulombili
glorifier	dumise
vanter	dumise
sauter	dumuge
miroir	dumwènu (mbwè)
orgueil	dunangu
fanfaronnade	dunangu
caméléon	dungwène
piment	dunungu (nu)
boire	dure
cuillère	duru (tu)
fruit rouge	durundu (tu)
plume	dusale (tsa)
prière	dusambu (tsa)
petite aubergine amère	dusari (tsa)
conte	dusavu (tsa)
fable	dusavu
planche	dusimbi (tsi)
pointe	dusongu (tso)
écharde	dusosu (tso)
épervier	dusugi (tsu)
épine	dusièndi (ma)
tirer	dute
éternuement	dutsi
ciseaux	dutsole (tsole)
cafard	duvèsi (ba/pè)
cancrelat	duvèsi
bretelle de panier	dwabi (nia)
ongle	dwale (nia)
griffe	dwale
marmite	dwèngu (ma)
sucer	fife
boire en filtrant le liquide entre les dents	fike
mélanger	fube
couper les cheveux	fuge
accuser	funde
dénoncer	funde
fouiller	funde
conciliabule	fundu
mentir	fure
payer	fute
cracher	fute
France	fwale
aller à travers la petite brousse	fwate
suppurer	fwènge
calomnier	fwèngilile
accuser injustement	fwèngilile
puiser	fwère
ramasser	fwère
partager inégalement	fwimbe
serrer en tirant	fwiñi
ennui, agacement	fwiri
partager	gabe
revenir	gabuge
rendre	gabuse
remettre	gabuse
mordre	gake
se disputer un objet	galene
presser	game
essorer	game
crier	gamuge
interdire	gandise
attraper	gànge
saisir	gànge
empoigner	gànge
frire	gange
rôtir	gange
au milieu de	gari
cligner de l' œil	gébule
faire du pied	gébule
prunelle de l'œil	ngéji
respecter	gobise
recracher	gobule
se laver	golile
se frotter de l'huile	golile
égrener	golule
arracher	golule
crainte	gome
peur	gome
racler	gombe
gratter	gombe
balayer	gombule
contourner	gonge
se chauffer	gore
égratigner	gorule
heurter	gubene
épousseter	gubule
brosser	gubule
retourner	gudige
raccourcir	gufise
imiter	gukulile
reproduire	gukulile
ancien	gulu (ba)
vieux	gulu
entendre	gulu
écouter	gulu
mugir	gumbe
rugir	gumbe
grogner	gumbe
couvrir	gumbe
entourer	gumbe
s'embrasser	gumbesne
s'étreindre	gumbesne
faire sécher	gumuse
écorce d'arbre	ibalu
homme blanc	ibambe
clan	ibandu
malade	ibédu (bi)
malchance	ibinde (bi)
cadavre	ibindi (bi)
dépouille	ibindi (bi)
tortue	ibonge (bi)
pourriture	ibotsi (bi)
parent	iburu (bi)
sœur	ibusi (bi)
couvercle	idibutsu (bi)
nasse	idube (bi)
danger	idume (bi)
ombre	idumbitsi (bi)
coup de tonnerre	idumi (bi)
trou	idune (bi)
cavité	idune (bi)
vêtement	idwaru (bi)
miette	ifufu (bi)
pauvre	ifufu (bi)
bain de vapeur	ifulu (bi)
langue française	ifwale
jabot de volaille	ifwinzi (bi)
coup de poing	igabe (bi)
petite saison sèche	igangi (bi)
caisse	igare (bi)
malle	igare (bi)
valise	igare (bi)
parole	igume (bi)
mot	igume (bi)
inondation d'une rivière	igungule tubi
pont	ikadi (bi)
cadavre	ikaji (bi)
interprète	ikambi (bi)
chute	ikari (bi)
nain	ikémbi (bi)
courteau	ikémbi (bi)
grillon	ikènzi (bi)
petite marmite en terre	ikéngu (bi)
chassie des yeux	ikétsi (bi)
essoufflement	ikibe
bosse	ikoku (bi)
danse de rejouissance	ikoku
canif	ikotige (bi)
toux	ikotsulu (bi)
handicapé	ikoyi (bi)
paraplégique	ikoyi (bi)
cuisine	ikuku (bi)
amende	ikumbu
fagot	ikuru (bi)
chemise	ikutu (bi)
blouse	ikutu (bi)
trompe d'éléphant	ilange (bi)
source	ilèke (bi)
fibre de bananier	iléli (bi)
temps	ilème
moment	ilème
enfant	ilengi (bi)
oubli	ilibe (bi)
année	ilime (bi)
marque	ilimbe (bi)
drapeau	ilimbu (bi)
radeau	ilindi (bi)
soutane	ilinge (bi)
robe	ilinge (bi)
nouvelle	ilombi (bi)
message	ilumbi (bi)
jour	ilumbu (bi)
boucle d'oreille	ilunge (bi)
événement étonnant	image (bi)
luciole	imomoñi (bi)
bauge d'animal	inangu (bi)
feu follet	inde (bi)
église	ingange (bi)
petit xylophone	ingidi (bi)
chatouillement	ingongiñi (bi)
stérile	ingume (bi)
troupe	inombu (bi)
troupeau	inombu (bi)
âme	iñuñi (bi)
esprit	iñuñi (bi)
vieux	inunu (bi)
vieillard	inunu (bi)
odeur corporelle	iñuru
morve	ipape (bi)
assiette	ipèle (bi)
chauve-souris	ipunge (bi)
épluchure	ipupu (bi)
taille	irèle (bi)
morceau d'étoffe	irèndi (bi)
ronflement	ironzi (bi)
flacon	irure (bi)
grappe de fruits	isage (bi)
travail	isalu (bi)
métier	isalu (bi)
tâche	isalu (bi)
grosse termitière	isame (bi)
cruche	isange (bi)
jarre	isange (bi)
peigne	isanu (bi)
tronc d'arbre étêté	isindu (bi)
herbe	isinge (bi)
souche pointue	isinzi (bi)
remèdes	isièmu (bi)
insulte	isièngu (bi)
sable	isièyi (bu)
manière de porter le pagne	isombule (bi)
honte	isoñi
gaine	isupu (bi)
fourreau	isupu (bi)
vessie	isusube (bi)
rhume	iswasu (bi)
regarder fixement	iswisu
fumoir	itale (bi)
marché	itande (bi)
masque	itengi (bi)
tesson	itengi (bi)
carapace	itengi (bi)
chenille	itsatse (bi)
eau profonde	itsibe (bi)
siège	itsige (bi)
lit	itsige (bi)
panaris	itsièndi (bi)
image	itumbe (bi)
gravure	itumbe (bi)
statue	itumbe (bi)
sot	itunzi (bi)
bête	itunzi (bi)
variole	itutu (bi)
torche de jonc	itutu (bi)
plante	ivaru (bi)
rapide	ivèle (bi)
casquette	iviovi (bi)
chapeau	iviovi (bi)
savoir	jabe
connaître	jabe
comme le dit tel...	jambile
manger	ji
gourmandise	jibe
colère	kabu (ma)
pagaie	kafi (ba)
grand-père	kage (ba)
grand-mère	kage (ba)
foudre	kaki (ba)
le crabe	kale (ba)
manquer de quelque chose	kambe
pintade	kange (ba)
incendie	kangi (ba)
démangeaison	kase (ba)
oncle maternel	katsi (ba)
matin	kédi (ba/ma)
frais	kégèngi
attendre	kèle
garder	kèlise
couvrir	kibe
agacer	kibise
taquiner	kibise
repasser	kile
cou	kingu (ba)
sacoche	kobi
accrocher	kobige
pardon	kokolu
en vain	kondini
inutilement	kondini
jarre	kôngu (ba)
cruche en terre	kôngu (ba)
antilope de rivière	kongu (ba)
effigie	kosi (ba)
statue fétiche	kosi (ba)
rentrer	kote
s'introduire	kote
faire rentrer	kotise
tousser	kotsule
poussière	kugumfu
semer	kuke
devise	kumbu (ba)
cuivre	kunge
privation de viande	kuñi
aisselle	kuru (ba)
entourer	kute
s'agenouiller	kuteme
traverse	kwalele (ba)
gésier	kwase (ba)
combien?	kwé, kwéñi
voir	labe
semer	lage
faire cuire	lambe
lampe	lambi (ba)
épier	lège
bercer	lèle
caresser	lèle
élever un enfant	lèle
plein	lelévi
raz bord	lelévi
suspendre	lélige
prendre	lélige
consoler	lémbige
apaiser	lémbige
appliquer de l'huile sur un abcès	lèmbule
caresser	lèmbule
supplier	lènde
mépriser	lènze
examiner contempler	lengule
faire un serment	lève
pleurer	lile
voyager	linge
pêcher	lobe
enjamber	lobuge
traverser	lobuge
envoûter	loge
ensorceler	loge
maudir	loge
être malin	lubuge
rusé	lubuge
fûté	lubuge
vomir	luge
nommer	luge
achever	lukule
enseigner	longe
promettre	longe
droite	mabale
cendres	mabufu
surdité	madibe
hernie	madungu
pus	mafiñi (ma)
sanie	mafiñi (ma)
gauche	magétu
sève	make
bave	makengi (di)
gage	makibu
devinettes	makibu
vin de palme	malamu
embrassade	malémbi
confluent	malu
louange aux ancêtres	malumbi
sang	malungu
maman	mame
eau	mambe
excréments	mambi
finir	mane
goûter	mange
saison sèche	mangele
menaces	mapémi
fesses	marangi (di)
hier	masige
clappes	masuku
monter	mate
grimper	mate
huile	matsi
igname	mbale (ba)
palmier	mbari (ba)
ami	mbatsi (ba)
camarade	mbatsi (ba)
tort	mbèle
voix	mbémbu (ba)
ravin	mbèngi (ba)
précipice	mbèngi (ba)
nourriture	mbingu
cru	mbisu
bouchée	mbugu (ba)
carapace de crabe	mbùnge (ba)
odeur	mbunge
moisissure	mbùngi
filet	mbuse (ba)
bouteille	mbute (ba)
étoile	mbwélili (ba)
tranchant	mengu
hippopotame	mfubu (ba)
genre de liane	mfuge (ba)
pluie	mfule (ma)
défunt	mfumbi (ma)
sedraperd'un pagne	mfunge
nouvelle de décès	mfwange (ba)
cris de joie	milolu
chien-loup	minzi (ba)
sauveur	mobotsi
vie	mono
bague	moro (mio)
vague	mobiji (mi)
mer,océan	mobo
balance	mudodu (mi)
fromager	mofume (mi)
charge	mufune (mi)
plainte	mufundu (mi)
cri	mugamu (mi)
hurlement	muggamu
saveur agréable	mugangu
peau	mukate (mi)
nuit	mukolu (mi)
colline	mukongu (mi)
montagne	mukongu
forgeron	mukube
bec	mukùbe
malfaisance	mùkubi
corde	mukudu
machette	mukwati
veuf	mukwili (ba)
veuve	mukwili (ba)
bénédiction	mule (miu)
manioc	mulèmbe (mi)
voyage	mulingu (mi)
papayer	mulôlu (mi)
seau	mulumbu (mi)
mari	mulumi (ba)
flamme	mulutso (mi)
petite pirogue	mumbèngu (mi)
échasse	mumbinge (mi)
poison du strophantus	monaji
mante religieuse	munangasunge (mi)
notable	mundumbe (ba)
arc musical	mungongu (mi)
tornade	mungudi (mi)
homme noir	munombi (ba)
tresse	mupande (mi)
chasseur	murèle (ba)
anguille	murondu (mi)
insolence	musabu
champs de seconde catégorie	musage (mi)
nouvelle	musamu (mi)
parapluie	musande (mi)
sourcil	musini (mi)
forêt	musiru (mi)
champ en friche	musoli (mi)
métier	musolu (mi)
fourchette	musomu (mi)
maladie	musongu (mi)
chair	musoiii (mi)
permission	musuge
bouillie	musulu (mi)
canne à sucre	musungu (mi)
grand village	musièngi (mi)
arachide embryonnaire	mutodi (mi)
personne	mutu
humain	mutu
cicatrice	muvédi (mi)
albinos	muvèmbe (mi)
esclave	muvige (ba)
asthme	muvite(mi)
respiration	muvumu (mi)
arc-en-ciel	muyame (mi)
parfum	muyombu (mi)
beau-frère	mwaji
enfant	mwane (ba)
bouillon	mwembe
visiteur	mwéñi (bé)
étranger	mwéñi (bé)
clair de lune	mwètse
crasse	mwinzi
saleté	mwinzi
avec	na
faire des massages	nane
soulever	nangule
camarade	ndami (ba)
ami	ndami (ba)
case	ndagu
maison	ndagu
balle	ndèle (ba)
ballon	ndèle (ba)
berceur d'enfant	ndétsi (ba)
appât	ndige (ba)
petit panier à poisson	ndike (bi)
limite	ndilu (ba)
bordure	ndilu (ba)
couleur	ndimbe (ba)
raison	ndunge
blesser	nemise
apprendre	nènge
appeler	nèngile
non	nési
cour	ngande (ba)
place du village	ngande (ba)
tradipraticien	ngange (ba)
aigre	ngañi
short	ngèmbe (ba)
culotte	ngèmbe (ba)
scolopendre	ngènge (ba)
panthère	ngo
léopard	ngo
harpe	ngomfi
raphia	ngombu
fleur	ngondi (ba)
cloche	ngunge (ba)
jalousie	ngusu
bâton	ngwangu (ba)
proverbe	nongu (ba)
parabole	nongu (ba)
emprunter	nwane
ensuite	nza
faim	nzale
reproches	nziembu
sentier	nzile (ba)
dos	nzime (ba)
