à la mode    édzam énga lorang
quel animal ?    tsít fé ?
à quel moment ?    ngheng fé ?
quel jour ?    dzô avé ?
quel homme ?    mot mbé ?
quel mois ?    ngon fé ?
quelle hache ?    ovone ové ?
à quel endroit ?    étune évé ?
quel homme ?    za mot ?
quelle affaire ?    za adzô ?
quelle journée?    za mosse ?
quelle nuit ?    za alú ?
quelle raison ?    za kále ?
quelle nourriture manges-tu ?    za bidzí wadzi ?
quelle pointure chausses-tu?    za abo wabwar ?
quelle fille aimes-tu ?    za minenga wadzing ?
combien de fois ?    zanga zanga fé ?
combien de fois parles-tu ?    wakobe biyòng bianga fé ?
combien de fois t’avait-il injurié ?    zanga fé anga ta wa ?
combien d’arbres ?    bilé bianga fé ?
Combien de fois veux-tu que je te répète la même chose ?    biyòng bianga fé mebagle we dzam dâ ?
quel enfant ?    moan mbé ?
quelle sœur ?    kâ fé ?
quelle barrière ?    nkagle mbé?
quelle maison ?    nda fé ?
quelle tribu ?    ayòng avé ?
quelle statuette ?    éyema avé ?
quel oiseau ?    ônon ové ?
quels enfants ?    boan bevé ?
quelles sœurs ?    bekâ bevé ?
quelles barrières ?    minkagle mivé ?
quelles maisons ?    menda mevé ?
quelles tribus ?    meyòng mevé ?
quelles statuettes ?    biyema bivé ?
quels oiseaux ?    anon avé ?
tout homme    mot asse
tout le monde    bot bessesse
toute chose    dzôm asse
toutes les tribus    Meyòng messesse
tout le temps    biyòng bissesse
à chaque fois    biyòng bissesse
tous les hommes    befam bessesse
la terre entière    si esse
par un autre chemin    zen fe
il ne dit pas autre chose    énga dia kobe agnu fe
quelqu’un d’autre    mot nfe
un autre homme    fam fe
une autre femme    minenga nfe
d’autres histoires    minlang mife
d’autres hommes    bot befe
une autre fourchette    olum ofe
ce même arbre a des feuilles et des fruits.    élé évo ébien énto sam, énto fe bibuma
l’homme lui-même est à l’origine de son malheur.    mot émién égna adzeng awu dégn
les oreilles elles-mêmes écoutent du Mvett.    melo mebién mawokh Mvett
les hommes eux-mêmes sont venus.    bot bebién benga so
dans sa propre maison.    é nda dzégn ébién
son propre corps.    é gnul dzégn ébién
la même chose    nté mbo
les mêmes enseignements    meyegle mevo
au même endroit    vôm mbo
même seau    ollome mbo
même couteau    okeng mbo
la même chose    dzam avo
quelquefois    ngheng ézing
parfois    ngheng ézing
peut-être    ngheng ézing
quelques personnes    bot bézing
certains    bot bézing
si quelqu’un vient    nghe mot ézing akagha so
certaines paroles    nkobe ézing
certains animaux    betsít bézing
aucun homme, quel qu’il soit ne peut me pointer le doigt au visage.    mot a mot ézing asse me lere onu assu
d’autres tribus    meyòng mevokh
un autre moment    éyòng évokh
certains gens    bot bevokh
certaines personnes sont parties, d’autres sont restées.    bot bevokh benga ke, éba bevokh benga lighe
un autre homme    mot mbokh
les autres    é bot bevokh
une vie entière    ngura égning
un tel homme ne passe son temps qu’à manger.    ngura mot atobe ngura éyòng ve na adzi
il est un homme spécial    ane ngura mot wégn
quelque chose    ngura dzam
n’importe quel objet    ngura dzôm
les choses de n’importe qui.    é mam ngura mot
certaines choses spéciales.    mingura mi mam
des hommes particuliers.    mingura mi bot
petite parole    oyôm adzô
un peu de temps    obe abong
un peu de moment    obe ngheng
un petit temps    oyôm éyòng
peu de paroles    abe medzô
peu de jours après    abe melú ônvús
un tout petit peu    oyôm dzôm
un petit tas    oyôm abekh
donne-moi un peu de pain    vagh me mura nfema
coupe-moi un petit morceau de manioc.    beghe ma mura zekh mbong
un petit peu de    oyôm mura
cueille-moi un peu de légumes.    dzemeghe me mura folong
viens manger un peu de patte d’arachide que j’ai caché dans le fumoir.    za dzi mura éba owòne meva sole akang
petit homme    mone mot
petit chien    mone nvú
petite réunion    mone essulane
petite ville    mone kissone
petite maison    mone nda
petit chat    mone essinga
petit bar    mone éfatele
merci beaucoup    akiba abüign
beaucoup de voitures.    abüign be metua
les avocats sont en abondance.    mefia mene abüign
les femmes sont nombreuses.    binenga bene abüign
trop de palabres    abüign nkobe
trop de bouches    abüign megnu
un authentique fang    gna moan fang
un vrai enseignant    gna nyegle sikolo
vraie maison    gna nda
un vrai militaire    gna moan bizima
un vrai homme    gna nfang mot
un vrai homme authentique    gna nfang mot
de vrais adorateurs de Dieu    te bewume Nzame
un vrai Fang    te moan fang
un vrai génie    te nyeme sikolo
je suis un vrai fils d’Engong.    mene te mong y’éngong
Emane Ntole était un vrai Gabonais.    Emane Ntole ambe te mong ye Gabon
de grandes misères    abime mindzúkh
cette foule nombreuse    abime bot ba
Qu’il a un grand talent !    abime akeng ane dina !
Mba avait fait de grandes choses qu’aucune autre personne n’avait faites    Mba aâbo abime mam mot fe andzi bo
sale chose    ébol dzôm
sale type    ébol dzôm
sale type    ébol mot
animal pourri    ébol tsít
même chose    anval dâ
drôle de personne    anval mot
drôle d’enfant    anval mong
drôle d’affaire    anval dzam
comme je mange    anval madzi
pauvre type    mbôl dzôm
pauvre type    mbôl môt
affaire bizarre    mbôl adzô
pensée bizarre    mbôl ossimane
un    fó
deux    bègn
trois    lâ
quatre    nii
cinq    tane
six    samane
sept    zambgwa
huit    môme
neuf    ébû
dix    awôm
onze    awôm a mbo
douze    awôm a be bègn
treize    awôm a be lâ
quatorze    awôm a be nii
quinze    awôm a be tane
seize    awôm a be samane
dix-sept    awôm a zambgwa
dix-huit    awôm a môme
dix-neuf    awôm ébû
vingt    mewôm me bègn
vingt et un    mewôm me bègn ye mbo
trente    mewôm me lâ
quarante    mewôme me nii
cinquante    mewôme me tane
soixante    mewôme me samane
soixant dix    mewôme zambgwa
vingt    mewôm môme quatre
vingt-dix    mewôm ébû quatre
cent    ntett
cent    nkama
cent un    ntett ye mbo
deux cents    mintett mi bègn
trois cents    mintett mi lâ
mille    toyine
mille    ntosine
mille un    toyine a dzâ
deux mille    toyine é bègn
six cent mille    mintett mi toyine mi samane
sept cent mille    mintett mi toyine zambgwa
un million    mintett mi toyine awôm
cinq cents    nkama nter
mille    minkam-mi bègn
trois mille    minkam-mi lâ
quatre mille    minkam-mi nii
cinq mille    énzugh
dix mille    binzugh-bi bagn
cinquante mille    aguom binzugh
cent mille    binzugh-me-wome bagn
cinq cent mille    nkama binzugh-bitan
un million    nkama-binzugh
cent millions    mewôme me bagn bidadum
cent millions    nter bidadum
deux clefs    bissap bi bègn
quatre oiseaux    anon a nii
trois hommes    bot be lâ
deux fois    biyòng bi bègn
cinq poules    bekú be tane
six tribus    meyòng me samane
deux maison    menda me bègn
une chose    dzam avó
une nuit    alú avó
une fois    zang fó
un pays    si fó
je compte un    malang na fó
une robe    élinga fó
une fois    zang dzâ
une fourchette    olum mbo
une nuit    alú dâ
un enfant    moan mbo
une femme    minenga mbo
le seul    mbo mbo
l’unique    mbo mbo
neuf fois    biyòng zambgwa
dix femmes    binenga awôm
neuf provinces (Gabon)    minseng ébul
six malheureux    akúkútt a samane
huit canards    bilola môme
deux dizaines    mewôm me bègn
quatre centaines    minkama mi nii
cinq cents    mintett mi tane
six milliers    mintosine mi samane
quinze    awôm a be tane
quinze    awôm ne be tane
vingt-six    mewôm me bègn a be samane
trois cent hommes    bot mintett mi lâ
tous les deux ne seront qu’un seul corps    besse be bègn beke tabe gnol fo
cent personnes    ntett bot
des milliers de personnes    mintosine mi bot
combien de fois ? deux fois ?    nzang dzang fé ? ye nzang é bègn ?
ces quatre femmes assises.    é binenga be nii beto
ces femmes assises quatre.    é binenga beto be nii
ces quatre grosses femmes assises    é binenga benen be nii beto
minkalbègn môme    huit chevaux
mezala awôm ye zala dzâ    onze fusils
awôm binenga ye binenga be bègn    douze femmes
awôm menda ye nda é tane    quinze maisons
be metua mewôm bègn a be metua be bègn    vingt-deux voitures
bong mewôm lâ    trente enfants
ntett bissua ye bissua bi bègn    cent deux assiettes
mintett be cabane mi bègn ye cabane mewôm bègn é tane    deux cent ving cinq moutons
premier    é mot ossua
deuxième    é mot bè
troisième    é mot lâ
quatrième    é mot nii
cinquième    é mot tane
sixième    é mot samane
septième    é mot zambgwa
huitième    é mot môme
neuvième    é mot ébû
dixième    é mot awôm
onzième    é mot awôm ye mbo
vingtième    é mot mewôm bègn
trentième    é mot mewôm me lâ
centième    é mot ntett
millième    é mot toyina
mille et unième    é mot toyina ye mbo
dix millième    é mot awôm toyine
vingt millième    é mot toyine mewôme me bègn
un millionième    é mot mintett mi toyine y’awôm
les vieux sont plus malins que les jeunes    begnabôrô badang bong nkel
les vieux dépassent les jeunes en ruse.    begnabôrô badang bong nkel
ma voiture est plus belle que la tienne.    metua wôm adang éyüa mbeng
Obame est plus intelligent que Ndong.    Obame ye Ndong, Obame ane nyemane
ton pagne est plus beau que ce pagne.    étô dzi y’édzüa, édzüa éne nvègn ayô
ce chemin est plus court que l’autre.    é zen gni éne éyale, égni ki étun
le citronnier est moins grand que le manguier.    andokh dadang alosse nnen
le citronnier dépasse le manguier en petitesse.    alosse dadang andokh ntokh
le citronnier n’est pas grand comme le bananier    alosse esse anen ane andokh
le manguier est grand, le citronnier moins.    andokh éne anen, alosse ki a si
Ntsame est aussi généreuse que Mengue    Ntsame ane agnep ane Mengue
Ntsame est généreuse comme Mengue    Ntsame ane agnep ane Mengue
même mesure    nté mbo
même chose    dzôm dza
même peuple (même tribu)    ayòng dâ
même manière    nsone mbo
même ventre    abum avo
même personne    mot mbo
même famille    mot mbo
même origine    mot mbo
ta case et la tienne sont pareilles.    nda dzüa y’édzam bene nvègn nté mbo
toutes les caisses sont aussi lourdes    biwala bisse bine adzit avo
Bekale n’est pas riche comme Biveghe    Bekale asse ki kúma ane Biveghe
comme pharaon    ane pharaon
tu peux parler comme pharaon, mais sache que je m’en contrebalance.    one kobe ane pharaon, ve maâbisse ki wa
comme un crabe maladif    ane nvuabora kara
comme une crevette maladive    ane nvuabora ongosse
comme un chien    ane nvú
tu peux aboyer comme un chien, je m’en fiche éperdument.    one kobe ane nvú, maâtièè dile te
comme un animal    ane tsít
Ndong se comporte comme un animal.    Ndong abo mam ane tsít
regarde les pieds comme un malade.    deghe mebo ane za tsa dzagha
Mba Ondo travaille comme un esclave.    Mba Ondo assègn ne nkúkh
Minkane Ondo mange comme deux.    Minkane Ondo adzi ane bot be bègn
je suis maigre comme un prisonnier.    okott onto me ngul ane é mot asso mimbokh
gros comme un petit porc.    nnen ane moan ngüign
les enfants de la maison ont maigri comme de petites crevettes.    é boan ki bene a nda bento akott ane oyén nso sine
Dzime parle comme s’il tombait des nues.    Dzime akobe ane é mot ava ku yôp
Mengue avait appris la nouvelle de sa réussite aux examens comme dans un rêve.    Mengue ambe ane é mot ayén bilèè éyòng anga deng nkatt
Obame vit comme un célibataire.    Obame anîng ane n’kpwègn
lorsque Bibang voit les jeunes filles, il se comporte comme un affamé.    Bibang ane éyòng ataâ binenga, anto ane n’kpwègn ota mekane
Ntoutoume ! Fais ce que tu veux chez moi.    Ntoutoume ! Boghe ane wakôme é nda dzam
Mezeme mange la cola comme l’autre (son ami).    Mezeme adzi abee ane é mot mbokh
Nyangone parle comme un blanc, elle gorge.    Nyangone akobe ane ntangane
Le pen chante comme un Noir.    Le pen ayiè ane nsut mot
Olông se comporte comme une femme.    Olông abo mam ane minenga
Édzang agit comme un homme.    Édzang abo mam ane fam
Éya vit comme un orphelin.    Éya anîng ane moan gnul
comme un solitaire    ane é mot adzeng bot
comme un solitaire    ane é mot ayi bot
comme un vieux    ane nnôm
Sima s’habille comme un vieux.    Sima abwar bitô ane nnôm
Mba danse comme un jeune.    Mba adzem ane étòng
Émane Tole se comportait comme un héros.    Émane Tole anga bobo mam ane ébibign
Éveve est astucieux comme la tortue.    Éveve abu mefekh ane étughu metsini
Biyoghe agit comme un crocodile. Il est agressif comme un crocodile.    Biyoghe abo mam ane nkôme ngane
lorsque Mendame se met à parler, les femmes tombent comme des mouches.    Éyòng Mendame akobe, binenga baku ane minlo
la nourriture d’Éyang a une odeur pestilentielle comme un animal pourri.    Éyang ayame bidzí biagnum ane ébol tsít
Ngomo Obiang se bat comme un diable.    Ngomo Obiang ayirane ane yable
Mezene s’en dort comme un mort. Elle dort à poings fermés.    Mezene ako oyo ane mbime
Éva Ngui est vilain comme un mille-pattes.    Éva Ngui ane abé ane mbgüène
Musavu parle comme un étranger, c’est-à-dire qu’il ne parle pas le fang.    Musavu akobe ane moan élop
Ossele vit chez lui comme s’il allait mourir demain.    Ossele atobe é nda dzégn ane é mot aye wu òkírí
Afane a beaucoup d’enfants comme les arbres de la forêt.    Afane abele boan ane bilé bine mefane
Ollame se comporte comme un sorcier.    Ollame abo mam ane nnem
le sang coula dans sa bouche comme lorsqu’on dépèce un buffle.    mekî menga küign gne agnu membe ve ane oyén bàbá gnatt
Ékang acheta sa voiture comme si de rien n’était.    Ékang anga sôme metua wégn ane batú kú dzis
Essangui est mort comme si c’était hier.    Essangui ava wu ane onghôghe
Essomeyo me parle comme de la merde.    Essomeyo akobe ma ane ndzé fe dzi
Ollinga regarde Ossima comme le chien regarde l’argent.    Ollinga ayén Ossima ane nvú étâ dola
Oyane me voit comme les poils de ses narines.    Oyane ayén ma ane essi ya adzügn
Mbazok me regarde comme de la merde.    Mbazok adeghe ma ane mebí mey’édukh
je chercherai de l’argent comme il se doit.    maye dzeng miang ane metsíng madzô
Mezui a de grands yeux comme une antilope morte.    Mezui abele bivuvua bi misse ane akap so
Engone sort avec les femmes comme l’animal sep.``    Engone adzangane binenga ane sep
Biya a grossi comme un éléphanteau.    Biya amena avússe ane étòng zok
Nvone ne parle comme le doyen du village.    Nvone akobe ane miyè ndâ
il est très mince.    ane ntókh ntókh
il est très maigre.    ane okôtt okôtt
il est très maigre.    ane nnô nnô
il est très grand.    ane éyale éyale
toujours très puissant.    foghe ve élône élône
la nourriture est très appétissante.    bidzí bine zam zam
l’homme est très noir.    mot ane nsut nsut
la nuit est très mauvaise.    alú éne abé abé
les gens sont très nombreux.    bot bene abüign abüign
les femmes sont très jolies.    binenga bene mimbeng mimbeng
les hommes sont très élégants.    be fam bene bendomane bendomane
beaucoup    abüign
c’est très beau    éne abüign mbeng
grand    nden
c’est très grand    éne nvègn nden
tout    esse
c’est de toute beauté    éne nvègn esse
même    ébiéne
cette voiture est la lourdeur même.    metua gni ane adzit ébiéne
sans connaître rien d’autre    ke fe yem
on ne sait pas pourquoi    ke fe yem
Zang est devenue méchante sans connaître rien d’autre.    Zang anto ayokh ke fe yem
Ékúma lui est un bon enfants    Ékúma égne ane mbeba moan
c’est le meilleur    égne adang nvègn
c’est le pire    égne adang abé
Biteghe a surpassé tous les hommes du village. Il est le meilleur du village.    Biteghe alor be fam besse bey’adzâ
parmi toutes les bêtes, la tortue est la plus rusée.    e betist besse, kúlu égna adang nkel
parmi les enfants de l’école, Assoumou est le plus intelligent.    é zang bong besse bey’a sikolo, Assoumou égne adang nyemane
s’il en est ainsi entre l’homme et la femme, il est mieux de ne pas se marier.    nghe ane nale ézang ngal ye nnôm, we na adang nvègn na be tanga fang lughâne
il vaut mieux entrer dans la vie estropié que de rester avec deux bras et être jeté en enfer.    ane nvègn na, ognighe énîng y’éyem, dang na otobeghe ye mmo mebègn, ve odzighe tôtôlane
le plus talentueux    édang mekeng
le meilleur chanteur    édang beyiè
le plus grand joueur de tam-tam    édang bebôme
le meilleur danseur    édang bedzem
le plus grand mangeur    édang bedzi
le plus grand sorcier    édang beyem
le plus grand parleur    édang bekobe
le plus grand faiseur    édang bebo
le plus grand artisan    édang bekôm
le meilleur joueur    édang belá
le plus grand buveur    édang begnu
le plus grand forgeron    édang belüígn
le plus grand savant    édang beyem mam
le plus grand menteur    édang minalbe
le meilleur nageur    édang bedzókh
le meilleur des homme    medang bot
le meilleur    medang medang
Nze le meilleur    Nze medang
intelligence-talent    akeng
prodige    akeng
couteaux    akeng
mystérieux    akenga
mystères    akenga
mystères    mekeng
lèpre    zàm
bambou    zàm
appétit    zám
pangolin    ka
soeur    kah
agacement    kha!
fille    ngon
jeune fille    ngon
concombre    ngon
lune    ngon
grand-parent    mvàm
bonté    mvâm
action de tonner    mvam
morve    abòm
pilier    abôm
le plein    abom
enlèvement de jeune fille    abòm
gueule    mbom
belle-fille    mbóm
paquet    mbòm
lot    mbòm
danse    abókh
temps    abokh
époque    abokh
potiron    abôkh
poisse    abòng
genou    abóng
rivage    abông
girafe    nkòkh
tronc d'arbre couché    nkokh
canne à sucre    nkôkh
seul    étám
seule    étám
étang    étàm
quand    é tam
lorsque    é tam
antilope    sô
scie    so
arrivé    so
morceau de viande ou poisson    essá
son père    essa
torche indigène    otú
perceur    otú
tu nommes    otu
paquet de    dzôm
chose    dzóm
fruit acidulé rouge    abàm
paquet de    abam
être obligé de    abàme
avertir    abáme
calmer    abáme
faire    ábo
pieds    àbò
langue    oyem
connaissance    oyem
l’arbre    oyem
lettre    ékàng
mot    ékàng
arme    ékáng
régime    ékáng
tas    ékáng
déjà parti    ékang
le soleil brille.    viane wa fègn
l’oiseau chante.    ônon e wa long
je    ma
tu    wa
vous    mina
il    a
il    da
elle    a
elle    da
nous    bia
ils    ba
elles    ba
moi    ma
moi    me
toi    wa
lui    gne
elle    gne
nous    bia
vous    mina
eux    be
avec moi    ye ma
avec toi    ye wa
avec lui    ye gne
avec elle    ye gne
avec nous    ye bia
avec vous    ye mina
avec eux    ye ébe
lui    nye
lui    gne
je le vois    mayén gne
eux    be
eux    bo
je les vois    mayén be
moi aussi    ma fe
ici    va
toi aussi    wa fe
là    okó
lui aussi    gne fe
là-bas    va légn
nous aussi    bia fe
dedans    été
là-dedans    Été va
vous aussi    mina fe
par ici    évôm wü
eux aussi    ba fe
par là-bas    évôm wélégn
le mien    éwom
les miens    éébam
moi-même    ma mién
le sien    ééyüa
les tiens    éébüia
toi-même    wa mién
le sien    ééwégn
les siens    éébégn
lui-même    é mién
le nôtre    ééwâ
les nôtres    éébâ
nous-mêmes    bia be bién
le vôtre    ééwonan
les vôtres    éébenan
vous-mêmes    mina be bién
le leur    ééwoba
les leurs    éébebâ
eux-mêmes    be bién
l’homme lui-même    mot é mién
les hommes eux-mêmes    bot be bién
la montagne elle-même    nkol o bién
les montagnes elles-mêmes    minkol mi bién
la poule elle-même    ku é bién
les poules elles-mêmes    beku be bién
l’oreille elle-même    alo é bién
les oreilles elles-mêmes    melo me bién
l’arbre lui-même    élé é bien
les bois eux-mêmes    bilé bi bién
l’oiseau lui-même    ônon o bién
les oiseaux eux-mêmes    anon e bién
l’homme est bon    mot ane mvègn
l’homme parle    mot akobe
le livre est bon    nten one mvègn
le livre parle    nten wakobe
la maison est courte    nda éne étun
la poule parle    ku dakobe
l’oreille bouchée    alo ene nduan
les voix parlent    mekîng makobe
l’eau est sucrée    mendzim mene azekh
les oreilles entendent    melo mawokh
les poulets sont bons    beku bene mvègn
les arbres se cassent    bilé bia bughe
ceci    égni
celui-ci    égni
ceci    édi
ceci    édzi
ceux-ci    émi
ceux-ci    éma
elles sont ici    éba
elles sont là    éba
ceux-ci    éba
c’est ici    èdzí
c’est là    èdzí
c’est ça    èdzí
ceci    èdzí
c’est ici    édina
c’est là    édina
c’est ça    édina
ceci    édina
celui-ci    édina
c’est ici    èdí
c’est là    èdí
c’est ça    èdí
ceci    èdí
celui-ci    èdí
ils sont ici    ébina
ceci    ébina
celui-ci    ébina
ils sont ici    èbí
ceci    èbí
celui-ci    èbí
ceux-ci    émina
ils sont ici    émina
ils sont ici    èmí
ceux-ci    èmí
ceux-ci    émana
ils sont ici    èmá
celui-là    èdzí
celui-là    èdí
celui-là    èwí
ceux-là    émalé
c'est ça    émalé
ceux-là    èmá
c'est eux    ébalé
ceux-là    èbá
c’est ça    édalé
c’est ça    édzalé
c’est ça    éwélé
c’est ça    émalé
ils sont ici    ébialé
ce sont ceux    ébalé
voici    éde di
voici    édzo dzi
voici    égne zi
les voilà    ébe ba
les voilà    éme ma
les voilà    ébie bi
c’est moi    ma lé
ce n’est pas moi    se ma lé
c’est toi    wa lé
ce n’est pas toi    se wa lé
c’est lui/elle    égna lé
ce n’est pas lui/elle    se égna lé
c’est nous    bia lé
ce n’est pas nous    se bia lé
c’est vous    mina lé
ce n’est pas vous    se mina lé
ce sont eux/elles    éba lé
ce ne sont pas eux/elle    se éba lé
les uns disent qu’il va pleuvoir. Les autres disent qu’il ne pleuvra pas.    ébana bena, nveng dazu nong. Bevokh bena aâye ki nong
c’est bien    éne nvègn
c’est mal    éne abé
c’est mieux    édangang nvègn
ce n’est pas bien de    esse nvègn na
il y a des brigands au mont Ngue.    bemimbeng bene nkôl Ngue
il y a du pain sur la table.    minfema mine é tebele ayô
il n’y a pas des militaires sur la route.    bizima bisse ki a ndzong
ne me parle pas comme cela.    otagha me kobe nale
ne mange pas cela.    ke dzi na
ne me regarde pas de cette façon.    ke deghe me nale
certains partent.    bevo bake
certains partent.    bevokh bake
d’autres reviennent.    éba bevo basso
cet homme qui est arrivé.    é mot anga so gni
appelez-moi l’enfant qui pleure.    lèghâne m’émoan ayi
le mari dont la femme a divorcé.    éfam minenga ava vásse
c’est le chien qui aboie qui m’a mordu.    é nvú dzabôme, édzo énga me lô
les oiseaux qui étaient malades sont morts.    anon énga kon, édo énga wu
c’est cet homme qui court qui frappa les enfants de Nfumu.    é mot amare gni, égne anga yir é boan Nfumu
c’est la pirogue de Biyoghe qu’on a volé.    é bial Biyoghe édze beva dzu
celui qui mange vite lave les assiettes.    é mot adzi avó égne assob bissua
celui qui travaille aura la récompense.    é mot assègn, égne ake gnong obá
regarde ce que je fais.    deghe édzam mabo
ce que tu dis est faux.    medzô wakobe mene minâ
je vais te montrer ce que tu cherches    mazu we lere édzam wadzeng
c’est celui qui t’a demandé.    égne ava we sili
ce n’est pas celui qui vient de Miang Essamekos    se dia égne asso a Miang Essamekos
c’est celui qui est le fils d’Akomezok Meza.    égne ane é moan Akomezok Meza
cet enfant est celui dont la tribu est Essamekos de Miang.    mong te égne ane moan Essamekos ye Miang
ce n’est pas moi qui ai trahi Abessole.    se ma meva kóng Abessole
qui est-ce ?    za lé ?
Eyeghe dit qui d'autre ? qui es-tu ?    Éyeghe adzô na, za fe? o ne za ?
qui sont ces hommes ?    bot bete bene be za ?
à qui t’adresses-tu de cette façon ?    za wakobe gne anval nkobe te ?
de qui parles-tu ?    za wadzô gne ?
vous venez de faire cela de quel droit, et au nom de qui ?    miva bo édzam di ye za kègn, y’édzü za ?
quel genre de ?    za anval ?
de quelle façon ?    anval vé ?
que veux-tu ?    dzi wakôme ?
que faites-vous ?    dzi minabo ?
que cherchent-ils à la rivière ?    dzi badzeng ochign ?
que manges-tu ?    wadzi dzé ?
pourquoi ?    akal dzé ?
pourquoi pleures-tu, ma chérie ?    wayi dzé a moan éboan ?
est-ce que tu vas bien ?    ye one nvogh ?
est-ce que tu es seul ?    ye one étám ?
vous m’écoutez, n’est-ce pas ?    minabèè ma nga ?
tu me pleures, n’est-ce pas ?    wayi ma nga ?
n’est-ce pas que j’ai raison ?    ke mekale nga ?
mon père viendra demain matin, n’est-ce pas ?    tare aye so òkírí kíkírí nga ?
voyons voir quand Mba arrive pour qu’on aille au campement.    ka Mba asso bike anvane
voyons voir ce qu’il va me dire.    ka mebeng wokh édzam aye me dzô
les Blancs ne sont-ils pas amoureux du soleil ?    ka mintangane miaghe fe miagneghe viane
n’est-ce pas que les filles de Mitzic sont belles ?    ka boan be binenga beye Mitzic bene mimbeng
je dis que    madzô na
je veux que    ma kôme na
je souhaite que    ma yi na
que pensez-vous ?    mi tâ na ?
que ferai-je ?    mebong na ?
comment t’appelles-tu ?    one dzü na ?
tout est facile    dzam asse éne ébubu
tout est voué à la mort.    mam messe maye mane
tout change, tout évolue, seuls les imbéciles ne changent pas    mam messe massanglane, mam messe make ossû, veve ve akúkútt bot ébe bassanglane ki
d’aucuns    mingura mi bot
certaines choses    mingura mi mam
certaines personnes    bot bézing
d’autres, les autres    bot bevokh
chacun doit travailler l’argent.    mot asse ayiane ségn miang
chacun dans sa maison.    mot asse é nda dzégn
chacun parle.    kara mot akobe
chacun avec sa chacune    kara fam y’é minenga wégn
les Fang se combattent les uns les autres.    Befang balumane bebién bebién
Obiang a deux voitures, l’une est blanche et l’autre rouge.    Obiang abele be metua be bègn, mbo ane nfum, égni mbo ane évele
les uns disent, Medza est belle, les autres elle est vilaine, d’autres elle est seulement gentille.    ébana bena Medza ane mbeng, bevokh bena ane abé, éba bevokh bena ane ve éyí
où est un tel ?    kale ane vé ?
Éyi Ovone dit qu’un soi-disant tel veut me voir.    Éyi Ovone gneghe na kale si kale ka akome me yén
l’homme d’autrui    éza fam
la femme d’autrui    éya minenga
la maison d’autrui    éyâ nda
la voiture d’autrui    éza metua
le sac d’autrui    éwa nfekh
la robe d’autrui    éyâ élinga
on cherche Nyingone.    ba dzeng Nyingone
on demande Abaga Moto    ba ssili Abaga Moto
on va faire des présentations chez Mimbuih.    bia ke kúlu Mimbuih dzangane
on naît, on grandit, on meurt    wa biale, wa vem, wa wu
on boira le vin de maïs demain.    bia ye gnu odontol òkírí
on célèbre Tsira Ndong Ndoutoume.    bia lughu Tsira Ndong Ndoutoume
on pleure Émane Ntole.    bia yi Émane Ntole
on a peur du peuple Fang sans raison.    ba ko ayòng Fang wòng kaâ étom
on écoute du Mvett Oyeng.    bia wokh Mvett Oyeng
on dit que    bot badzô na
on raconte que    bot bakobe na
on entend que    bia wokh na
on voit que    bi tâ na
on remarque que    bia yén na
aucune fille n’est au village    kaâ minenga a dzâ
aucune chose    dzôm-a-dzôm
aucun esprit    nsissime-a-nsissime
aucun guérisseur    nghengang-a-nghengang
médicament    biang-a-biang aucun
maladie    okon-a-okon aucune
affaire    dzam-a-dzam aucune
aucune voiture    metua-a-metua
aucune femme    minenga-a-minenga
aucun homme    fam-a-fam
aucun enfant    mong-a-mong
moi et lui    bia-gne
nous et vous    bia-be-mina
nous et eux    bia-be-be
toi et lui    mina gne
toi et moi    bia-wa
lui et moi    bia-gne
nous et vous    bia-be-mina
nous tous    bia bessesse
Nguema et moi    bia Nguema
cet homme et moi    bia mot éte
les enfants et moi    bia be bong
toi et Edou    mina Edou
lui et ses frères    babe bobegnang
toi et lui    wa-ye-gne
toi et eux    wa-ye-ébe
vous et eux    mina-be-be
je ne mange pas    maâdzi ki
je ne parle pas    maâkobe dia
je parle    makobe
je parlais    menga kokobe
je parlai    menga kobe
je parlerai    maye kobe
j’ai parlé    mekobeyang
j’ai parlé    meva kobe
j’avais parlé    maâkobe
j’eus parlé    mekobe-ne
j’aurai parlé    mengaye kobe
que je parle    na makobe
que je parle    mekobe
que j'aie parlé    na menga kobe
je parlerais    mene kobe
j'aurais parlé    ve menga kobe
parle    kobeghe
aie parlé    anga kobe
parler    akobe
avoir parlé    akobane
en parlant    éékobe
parle    kobe
je suis debout    me tele
je suis couché    me bô si
je suis beau    me ne mbeng
je suis belle    me ne mbeng
la mangue est suspendue    andokh ékele
la porte est ouverte…    mbégn oyo
être debout    atebe
dormir    abôme si
être    ene ya
être ouvert    ayòngbe
je suis assis    me to si
je m’assieds    ma tobe si
aller chez autrui    ake bimmo
les Fang mangent en buvant du vin de palme.    be Fang badzi béégnu melamba
Otétégn Alexandra parle en mangeant.    Otétégn Alexandra akobe éédzi
je ronfle en dormant.    makóng mééko oyo
vous courez en chantant.    minamare minééyè bia
Andeme vend de la nourriture en mangeant aussi.    Andeme assomane bidzí adzaghe fe
tu me laisses en pleurant comme un nouveau-né.    wa ligh ma lóng ane é mong andegh biale
je vais en pleurant la fille de mes rêves qui vient de se marier    ma ke ma yi moan ébone ava ke melugh
en mangeant, je    medzaghe
en mangeant, tu    odzaghe
en mangeant, il    adzaghe
en mangeant, nous    minedzaghe
en mangeant, ils    bedzaghe
en mangeant, je    méédzi
en mangeant, tu    wéédzi
en mangeant, il    éédzi
en mangeant, nous    biédzi
en mangeant, vous    minédzi
