à la mode    édzam énga lorang
juge    nkîghe medzô
jupe    étune kaba
jurer    akalane
jusque    aküi
jusque    akeküi
juste    sôssô
kidnapper    abign mot éban 
kidnapper    atôghmot
kilométrer    akigh táng be kilomètre
klaxonner    alóng tong
kolatier    abangakh
là    valé
là-bas    ali
labelliser    aveduma
labourer    assègnsi
lac    étam
lac    éliba
lacer    atsine minkol megop
lacérer    agnab
lâche    mbobe
lâche    ayegna
lâche    éteng-lenga
lâcher    adzame mot 
lâcher    aligh mot
laïciser    aligh filí
laid    abé
laid    mbéa
laisser    aligh 
laisser    a dzame
lambiner    ake oteghetekh
lamenter    assôgh
laminer    awokh ateghe gnol
lancer    awâ
lanciner    alere mindzúkh
langue    ôyem
langue    nkobe
large    ndam
large    anen
laver    assôp
lécher    agnáng
lécher    apiákh
lécher    agniè
léger    oveves
léger    éveves
lent    otong
lent    oteghetekh
lettre    kalara
lever    abere
lever l'encre    ava gnela
lèvre    éya
liane    nlóng
libertéét    ofilí
limite    nni
limite    susugha
lire    alang
lit    énong
livre    kalara
loi    atsing
loin    oyáp
long    ayáp
longtemps    ayáp
lorsque    éyòng
louer    assekh
admirer    akang
lumière    éfufup
lumière    élam
lune    ngone
lune    ngomendane
lunettes    biyén
lutte    messing
lutter    akar
macabo    ékabane
macabo    abakh
macérer    ayine mendzim été
mâcher    agnale
machette    fa
machette    mpwara
machiner    anam ngüine
mâchonner    agnale
mâchouiller    agnale
maçon    nlong menda
maçonner    alóng ye cima
maculer    ave nvine
magnétoscoper    agnóng ye magnétoscope
magnifier    awume 
magnifier    abere yôp
magouiller    abonvo
maigre    okôt
maigrir    akor
maintenant    den
maintenant    éyòngdzi
maintenant    étodzi
maintenir    abele
maïs    fôn
maison    nda
maison    étobga
maîtriser    ayem
mal    abé
mala de    nkôkon
malchance    bidzìm
malchance    àbira
malédiction    biyoghe
malheur    ndzùkh
manger    adzi
mangue    andókh
manquer    amagh
manteau    ékôtnveng
veste    kôt
marché    makít
marcher    awulu
mari    nnôm
marmite    viekh
marmite    mvé
marmite    viokh
matière    megnung
matin    kíkírí
méchant    mbé amot
médicament    biàng
mêler    afulane
mélanger    afukh
mensonge    minâ
menuisier    kapinda
mer    máng
mer de sfées    máng bekôn be binenga
merci    akiba
merci    abora
mère    gnia
mesurer    avekh
métier    essègn
métier    assuessègn
mettre    afuru
midi    angomos
miettes    megnung
milieu    ézezang
milieu    ntémbo
mince    ntókh
mincir    abontókh
miss    élomba-gname
mois    ngon
moitié    étùne
moment    éyòng
monde    si
monter    aber
montre    nkuala
montrer    alere
se moquer    apwegle
morceau    éfus
morceau    ofus
morceau    éfas
mordre    alô
mort    awu
mouche    nlo
mouiller    abole
mouiller    abuègn
mourir    awu
agneau    ntoma
mouton    kabane
mûrir    avégn
mûrir    atobe éwôlô
murmure    mengníng
murmure    beyâ-beyâ
murmurer    agníng
nager    adzokh
naissance    abial
naître    abiale
nantir    abele bio mmmo 
nantir    ene nkúkuma
narguer    assóng 
narguer    akekh
narrer    akangle adzo
nasaliser    akobe a dzügn
nasiller    akobe a dzügn
nasse    táne
nationaliser    abagle mevègn me si
natter    afen nnô ye gnóng
naturaliser    ave tsine
naviguer    adugh bial
navrer    awokh nnem mintègn
nécessiter    akôme
nécessiter    éne achègn
nécessiter    ayì
nettoyer    afime
nettoyer    assôb
nettoyer    tugh
neuf    ébul
neuf    ébû
nez    dzügn
noir    évine
noir    nsut
noix    mbang
nom    éyola
nom    dzü
nombre    tang
nombre    nòme
nombre    abim
nommer    ayô
nommer    alüè
nommer    alè
non    mômô
non    koko
non    keghe
nourriture    bidzí
nous    bia
nouveau    nféfégn
nouvelle    fuègn
information    fuègn
noyer    agnong
noyer    adú mendzim
nu    chichègn
nuit    alú
nul    keghemot
nul    zeze
nul    ndzimane
obéir    asseme 
obéir    akang
obérer    ake abüign miang 
obérer    ayüign ntugh
objet    dzôm
objecter    atégn dzam asi 
objecter    kaayebe
obliger    adzo dzam yengû 
obliger    ayemle dzam 
obliquer    atú nféfègn zen
oblitérer    atsam 
oblitérer    akikhabong
obnubiler    abira gneghe
obscurcir    avine
obséder    abirane agnegh dzam 
observer    abile
s'obstiner    ayemle
obstruer    adu zen
obtempérer    asseme 
obtempérer    akang
odeur    égnum
œil    dzís
œuf    akî
offrir    ave
offrir    avedas
offrir    akeéveéve
oiseau    ônon
okoumé    anguma
ongle    dzégn
orage    ôkôs
orange    ôfümi
orange    ôlogi
orange    ébuma ofümi
oranger    élé alôsse
ordre    atsìng
oreille    alo
os    éves
oser    avegle
ou    nghe
ou    nghena
