ibam̂i    dignité
idyomb'iṉami    ma belle-sœur
adyomb'imam̂i    mes beaux-frères
adyomb'imam̂i    mes belles-sœurs
idyombana s'ayombano go kana    les noces de cana
idyómbwa    propreté
idyómbwa    propre
anó mè mi re idyómbwa g'ande    ces dents sont très blanches
idyómbwa g'ivèla    blanc comme du calicot
idyóna    nouveau
idyóna    neuf
itómbó idyóna si re bya-pa    les nouveaux instruments de musique qui sont arrivés
idyónga    breuvage
idyónga    boisson
kol'idyónga    acheter de la boisson
idyora    rassasiement
idyora    satiété
idyova    pêche
anto wi re g'idyova    les femmes sont à la pêche dans les ruisseaux
idyovuna    lavage
idyovuna    blanchissage
nènó ni ntȼugu y'idyovuna    c'est aujourd'hui le jour du lavage
idyovuno    purification rituelle
idyowa    démangeaison
idyówa    répit
idyówa    repos
azwè dèng'idyówa kao ntȼugumpolo    nous n'avons de repos que le dimanche
no tigare idyufa    cesse donc de voler
idyufa    vol
idyufa    larcin
idyuka    objet de rebut
idyuka ṉi ngóï    un habit usé
adyuka m'intȼozo    de vieux souliers
ogwana g'idyuka ṉi mbèrè    ton haleine a l'odeur d'une sardine pourrie
idyuwa    décès
idyuwa    mort
idyuwa si byen'omedu    la mort est le partage de chacun
idyuwa si zele n'ompangano    la mort n'avertit pas
idyuwa si zeie n'igona    la mort surprend tous les âges
sinó sidyuw'isam̂i !    je meurs ! au secours
ezómbi zó are idyuwa n'itoia    ta sœur est entre la vie et la mort
bom̂unyo n'idyuwe    avoir des cheveux blancs
twa n'idyuwe    avoir des cheveux blancs
idyuwe   cheveux blancs
ifagu    rugueux
ifagu    rude au toucher
idyavi s'akoko si re ifagun   les feuilles de cannes à sucre sont rêches
ife    froid
ife    fièvre
tatam̂ma n'ife    grelotter de froid
owendja wa nènó wi re ife    il fait froid aujourd'hui
mi sóto n'ife    je sens la fièvre
ifèfè    écoulement muqueux
ifèfè y'antȼó    écoulement des yeux
ifèfè y'ompombo    écoulement du nez
ifem̂a    faute
ifeva    laideur
ifeva    laid
mèm̂'ifem̂a    avouer ses fautes
o re ifeva g'oṉambe    tu es laid comme un revenant
ifeva si ntȼigo si nógana gore om'o kumba yo    la laideur du chimpanzé déteint sur celui qui le porte
ifeve-kamba si davize mpungu    mal parler envenime les procès
ifeve-kamba    mal parler
ifeve-dyandja    mal travailler
ifevîno    malchance
wi re sifevino    ils n'ont pas de chance
ifina    retour
ifiṉ'isani só sinó?    c'est maintenant seulement que vous revenez?
ifizaviza    traînard
ifizaviza    musarderie
ifum̂avum̂a    murmure
o re sifum̂avum̂a    tu ne fais que murmurer
ifunda    paquet
dirya ifunda    nouer un paquet
kora ifunda    nouer un paquet
ifunda ṉ'ingóï    un paquet de linge
puzun'ifunda    étaler un paquet
ifuta    amulette en forme de sachet
diry'ifuta g'ogó    attacher une amulette au bras
ifuwa    saleté
ifuwa    sale
m'pa dyen'oma wi re ifuwa yenó    je n'ai jamais vu quelqu'un d'aussi sale
iga    forêt
ig'ivolo    la grande forêt
ig'ivolo    la forêt vierge
iga ṉi nkondjo n'ozuga    la haute futaie
g'iga-ntȼe    au fond de la forêt
g'iga-ntȼe    en pleine forêt
igagum̂a    bégaiement
igagum̂a    bègue
o re igagum̂a    tu bégaies
igala    cour
igala    rue de village
igala    à la porte
igala     dehors
igala    découvert
seva g'igala    jouer dans la cour
kógwa g'igala    sortir dans la cour
kógwa g'igala    aller dehors
dand'igala ṉi nkala    traverser la cour d'un village
kènda epoti nu-pieds    aller nu-tête
imbunga ṉ'igala    la vie dissipée du monde
iyoge n'igala    les séductions du monde
igamba    parole
igamba    action
igamba    fait
okwa igamba ṉi re sè?    qu'est-ce qu'il y a ?
igambande ṉi ntȼóni ṉinó !    quelle honte !
u! ṉinó du igamba!    que de choses! quelles merveilles
igambande ṉinó! igamb'onóngónde ṉinó!    qu'est-ce que cela signifie
agamba m'aṉambyè    les vérités révélées
igamb'igambye    une parole sensée
igamb'igambye    une parole qui en vaut la peine
myè ngani my'azele vóvó n'igamba    pour moi, je n'ai rien à dire à cela
myè ngani my'azele vóvó n'igamba    je n'y vois pas d'inconvénient
teniz'igamba    résoudre une question
igamba ṉ'ayènwè n'om̂wo-ng'iyè    le palabre d'ayènouè avec son frère
my'azele g'igamba mèṉónó    je ne suis pas mêlé à cette aifaire
m'pa dyena mèvónó igamba    c'est insignifiant
m'pa dyena mèvónó igamba    c'est peu important
igambi    parleur
igambi    orateur
igambino    parloir
igambo    adultère
igambo    procès intenté pour adultère
dèng'igambo    commettre un adultère
kwez'igambo    s'attirer un palabre pour adultère
tuw'igambo    accuser d'adultère
sal'igambo    dénoncer un adultère
sal'igambo    surprendre en adultère ou dénoncer un adultère
bóng'igambo    se faire indemniser par le complice
taw'igambo    payer une indemnité
igamb'otèmbè    gage
igamb'otèmbè    assurance
igando    plante du pied
iganga    sortilège
iganga    sorcellerie
póga n'igang'imo    n'évoquer qu'un seul esprit

igange    rôti
itótó igange    une banane frite
igani    défenseur
igega    crabe de mer ou crabe-nageur
igègó    dent molaire
igègó    avicule
igèï    fade
iṉa sinó si re igèï    ces mets sont fades
igèlè    pauvreté
igelenge    sonner la cloche
igelenge    tinter la cloche
igelenge    agiter des clochettes
igelenge    variété de grosse banane
dok'igelenge    tinter la cloche
sugazug'agelenge    agiter des clochettes
igelenge iṉango    une clochette, une sonnette
igènda    aller
igènda    action d'aller
igende    messager
igende    estafette
tom̂'igende go fey'oma    envoyer quelqu'un pour appeler une personne
agende m'orowa    les messagers célestes
agende m'orowa    les anges
agende m'aṉambyè   les anges
igèndi    marcheur
otangani winó are igèndi    cet européen est un bon marcheur
igèndino    lieux d'aisances
ligèndino    latrines
igenlege    cloche
igendja    falaise
fal'okuwa g'igendja    se précipiter du haut d'une falaise
pung'okuwa g'igendja    se précipiter du haut d'une falaise
mbora mèyónó yi re igendja    la rive est à pic à cet endroit
igendo    bergeronnette
igendo    hoche-queue
igendo    espèce de bardane africaine
igendo    passerau noir et blanc
igene    volute
igèni    bucarde
igèni    coque
igèni ṉi mbam̂è    bucarde à côtes
igenga    vol d'oiseaux ou d'insectes
igenga ṉ'aruwani    un vol de pélicans
igenga ṉ'iṉowe    un essaim d'abeilles au vol
igenge    poisson de mer à corps elliptique
igero    part
igero    portion
igero ṉam̂i ṉe ṉe?    où est ma part?
azw'apó igero du gandam̂ine    nous t'avons donné une bonne portion
igewa    allégresse
igewa    réjouissance
igewa    emballement
igewa    enthousiasme exagéré
igewa    joie
sanginy'igewa    se réjouir
sanginy'igewa    tressaillir d'allégresse
sanginy'igewa    tressaillir de joie
fèti yinó y'avili, buyo nè g'igewa!    on dit que la demière fête a été très solennelle
igewa ṉa rómbókóli    un bonheur sans mélange
igewa ṉa pèkèpèkè    un bonheur sans fin
koto n'igewa ṉi ntȼe    être fasciné par le plaisir
dyandja osam̂u n'igewa    s'emballer pour une chose
dyandja osam̂u n'igewa    se laisser emporter par un enthousiasme exagéré
igèwèlè    entorse
igèwèlè    foulure
igèwèlè    fracture
tumby'ogó igèwèlè    se donner une entorse
tumby'ogó igèwèlè    se fouler le poignet
tumby'ogó igèwèlè    se fouler le pied
mógw'igèwèlè    se fracturer le bras
mógw'igèwèlè    se fracturer la jambe
igèwu    paquet d'aliments cuits à l'étouffée
igèwu    faire cuire des mets à l'étuvée
igèwu    tout paquet enveloppé de feuilles
kor'igèwu ṉi wèrè    mettre des aliments en paquet
igèwu ṉ'inamba    un paquet de résine
igezè    le vrai nom du cap lopez
igindji    qui ne sait rien faire
igindji    maladroit
igóïgóï    lycopode grimpant ou mousse terrestre
igogîna    pincée
igogîna    une prsie
igogina ṉi tako    une prise de tabac
igógîno    lieu où l'on hisse les embarcations
igogo    graminée à larges feuilles rugueuses
igogo    poussant en touffes compactes
igogo    couleuvre verte
igogonge n'iga    arbre aux pigeons verts
igogonge n'iga    arbre aux rameaux pendants
igógóró    canard sauvage
igogozo    rabot
igogozo    arbre dont les feuilles servent de papier verre pour le polissage du bois
igogozo ipe    rabot ordinaire
igogozo ṉ'intȼèrè    rabot à moulures
igógwa    sortie
igógwa    action de sortir
igógwîno    sortie
igógwîno    endroit par où l'on sort
igóla    coquille d'escargot
igóla    talisman renfermé dans une coquille d'escargot
igóla    chas d'une aiguille
sèn'igóla ṉ'itóndo    se procurer le fétiche de l'amour
sèn'igóla ṉ'itóndo    se procurer un talisman pour se faire aimer
kangana n'igóla go ningonamba    se promener avec une coquille-fétiche dans les replis de son pagne
igolino    lieu public où se tient le marché
igólóngó    mal de mer
igólóngó    vertige
igólóngó    égarement d'esprit
igólóngó    petites parcelles de fer: on s'en sert pour soigner les aboukouè
koto n'igólóngó    avoir le mal de mer
vertige    égarement d'esprit
igolo    achat
igolo    vente
nkóla mèsónó mbani si re igolo imo    ces deux montres se vendent le même prix
swaka mèyónó yi kènd'igolo sè?    combien coûte ce couteau ?
teniz'iyolo    fixer un prix
teniz'iyolo    conclure un marché
sony'igolo    baisser le prix
pandy'igolo    hausser le prix
iṉa s'igolo    des vivres d'un prix élevé
igóm̂a    circonférence
igóm̂a    rond
igóm̂a    cercle
tènd'igóm̂a    tracer un cercle
ntȼe yi re igóm̂a    la terre est ronde
igóm̂a ṉ'orowa    le firmament
igombe    grande natte servant de voile ou de moustiquaire
igombegombe    parapluie
igombegombe    parasol
igombegombe ṉi diwine ningo    un parapluie
sambuny'igombegombe    ouvrir un parapluie
nundj'igombegombe    fermer un parapluie
igombenum̂a    ange de mer
igómbó    crabe de terre
igómbó    tourlourou
tavin'igómbó g'ompogoni    tirer un crabe de son trou
igómbó ṉi dulin'intȼóngó    tenailles de charpentier et de menuisier
igom̂i    dixième
igom̂i    dix
oba w'igom̂i wó winó    voici le dixième manguier
igom̂i ṉ'indego, gambènè o re sinoka    ami de tous, ami de personne
igom̂i ṉ'indego, gambènè o re sinoka    si tu as dix amis, c'est que tu es un menteur
igona    ceux de notre taille
igona    taille
wi re igon'imo    ils ont la même taille
igon'iṉazo    ceux de notre taille
igonda    message
igonda    commission verbale
igondja    sorte de casque en feuilles de raphia que por taient autrefois les pagayeurs pour se garantir de la pluie
igondja    toiture de pirogue
igondja    bâche
igondja    case-fétiche où l'on conserve les crânes des ancêtres
igóndji    cordelette
igóndji    ligne pour pêcher
