temps    état de l'atmosphère
temps    température
egombe emo    en même temps
egombe z'awyeni myè    lorsque je suis venu
twa g'egombe    avoir ses règles
g'egombe    peut-être
g'egombe o be duuno yè gunu    il peut se faire que tu le trouves ici
ṉ'egombe    à des heures fixes
egombe zi pa twa    il n'est pas encore temps
egónda-góndè    traître
egónda-góndè    espion
egóndó    troupe
egóndó    bande
egóndó z'anaga    une troupe d'hommes
egóndó z'intȼunu    une traînée de fourmis voyageuses
egóndó z'oga    la suite ou les sujets d'un chef
datiz'egóndó    avoir de nombreux sujets
egónga    maigreur
egónga    maigre
egónga    décharné
egóngó    société
egóngó    compagnie
itangani yinó yi re egóngó z'okita    ces européens se sont associés pour faire du commerce
móngi mèsónó waodu wi re g'egóngó zao zi mpongwè    il n'y a là que des mpongouès
egóngó z'isèn    la communion des saints
egóni    murmure
egóni    bruit des eaux
egóni    bruit de la pluie
egóni    bruit du vent
egóni    bruit sourd et confus de voix humaines
egóni    ramage
egóni    gazouillement
egóni z'ivovya    le bruit d'une cascade, d'un rapide, d'une chute
egóni z'am̂oï    bruit des voix
egóni z'am̂oï    ramage
egóni z'am̂oï    gazouillement
egóni z'iṉoni    le ramage des oiseaux
egórigórï    bourrelet de la nuque
egórigórï    renflement de la nuque
egórigórï ga nguwu    la nuque bourrelée comme un hippopotame
egórigórï  ga ndjiwo   la nuque bourrelée comme une antilope
egoro    gaine
egoro    étui
fele swaka g'egoro    remettre un couteau dans son fourreau
egoro    enveloppe de certains fruits
kóguny'okwara g'egoro    tirer une épée de son fourreau
kóguny'okwara g'egoro    dégainer
egoro z'antȼó-m'atanga    un étui à lunettes
egoro z'asani    un étui de cartouche
egoro zi mba    un épi de maïs
egoro z'osange    une cosse de haricot
egoro z'enone    une capsule de poivre maniguette
egoro zi ńóndó    une enveloppe de courge
egoro z'oyila    spathe de palmier
egotina    poignée
egotina    manche
egotina zi ntȼwana    un manche de casserole
egotini    celui qui porte le gibier tué à la chasse ou le poisson pris à la pêche
egowa    crampe aux mains
koto n'egowa    avoir des crampes aux mains
egozo    demeure habituelle des perroquets
egozo    chéchia
egozo    calotte en drap rouge
egule-mpungu    héraut chargé de transmettre les ordres d'un chef
egule-mpungu    crieur public
egumbarógó    moineau des buissons
egumbazèrè    courbé
egumbazèrè    voûté
egunu    colère
koto n'egunu    être fâché
koto n'egunu    être en colère
shnby'egunu    réprimer sa colère
eguru    poisson de mer
eguruguru    crécelle
eguwa    rhume de cerveau
