s'assoupir    etimba solo
assoupissement    etimbili
assoupissements    bitimbili
assourdir    ediba matshui
assourdissement    edibili si bu diba matshui
assouvir sa faim    emana ndjala
assouvir    emana
assujetir une nation    ebongo lilongo
assujetir    ebongo
astreindre à un travail    edambassa
assurément    moko
assurer    elèlè moko
s'assurer    emanana
asthme    likopa
asthmes    makopa
astringent    muti mu dèrassa moï
remède    muti mu dèrassa moï
à tort et à travers    tshuakiri
atroce    ekiba si y-nènè
cruel    ekiba si y-nènè
douleur    kiri
excessif    mubimumu-nènè
attacher    ekotala
attacher    ekota
attaque    ebandili
attaques    bibandili
agression    ebandili
agressions    bibandili
attaquer    ekuata
attaquer    ebanda
attaquer    libadi
attaquer    etubassa mudingu
surprendre    etubassa mudingu
attendre    etala
attendre    edila
attendrir    essa mono mutèma ngagi
émouvoir    essa mono mutèma ngagi
s'attendrir    emono lingèbè
s'émouvoir    emono lingèbè
s'attendrir    ekolo
s'émouvoir    ekolo
attendrissement    lingèbè
attendrissements    mangèbè
attendrissement    ekiba
attendrissements    bikiba
attente    etalili
attentes    bitalili
attente    edilili
attentes    bidilili
attention!    naboèdi!
attention à toi!    kèlè gnutu a uè naboèdi!
prends garde!    kèlè gnutu a uè naboèdi!
une attention    ekèilili
attentions    bikèili
attentivement    na ekèilili
attentivement    mukiènku
attentivement    naboèdi: tôo
atténuer    ekèisse
atténuer    ekèbisse
attirer    eduta
attirer    essa'ya
attiser le feu    elossa mbau
attouchement    ebèmbili
attouchement    ekuatili
attouchements    bbèmbili
attouchements    bikuatili
attraper un animal au piège    ekolugo na murambu
attraper    ekolusso
saisir    ekuata
saisir une chose en l'air    eïaka
tromper    ekutassa
attrister    essa mutu essungili ghu mutèma
s'attrister    emono mutèma ngangi
s'attrister    bakuata ngangi ghu mutèma
aucun    na bè mu môsi
aucune    na bè mu môsi
audace    kiri
audacieux    mutu a kiri
audacieuse    mutu a kiri
au-dedans    ghu tshoa
dans l'interieur    ghu kate
au-dehors    ghu badi
à l'extérieur   ghu badi
au-delà    ghu tshina
au-dessus    ghu tshina
plus haut    elota
au-dessous    ghu toto
augmentation    ekunissi
augmentations    bikunissi
augmenter    ekunassa
aujourd'hui    lolo-y
aujourd'hui    litchugu la lolo
aujourd'hui    loana
aumône    essumbili
aumônes    bissumbili
auparavant    ghu tshômi
auprès    tuga na
auusi    ka
autant    lilongo li mô
autant    nga
autel    Lotel
autel    tabulo ghu ndjo Ndjambi ghu bu vovo lamès
autour    edièngile
autre    mukima
différent    mukima
autrement    lilongo likima
autrement    edimu ykima
autrement    maluana
bien plus    elota
sinon    vè bona
sinon    ndjua
sinon    mana
sans quoi    vè bona
sans quoi    ndjua
sans quoi    mana
autrui    ngani
auteur    muvangi
auteurs    bavangi
avaler    emina
faire avaler    eminassa
d'avance    tshômi
d'avance    bushu
avance    mutètè
avances    mitètè
avancer    ebakana
avant    tshômi
avant    ghu bushu
avant-garde    mutu yu yènde ghu bushu
avant-hier    bissambadi
avare    katu
avare    mukussu
avec    na
avenir    lüèlè li li ya.
le temps futur    lüèlè likima li sa ya.
avent    Lavan
avent    lüèlè ghu bushu fet y Noël
avertir    elèlè
avertir secrètement    elèlè tshua liu a u a ya
aveu    emèmili
aveux    bimèmili
aveugle    misu vè
aveugler    ediba mutu misu
avilir    ebèssa
avilir    ebungaga
avilissement    ebèssili
avilissements    bibèssili
avis    ndongi
des avis    mandongi
avocat    muvovi
avocats    bavovi
avoir    li na 
avoir    bela
un avoir    bela
avorter    ndimi pola
accoucher avant le  terme    lüèlè ka li to vè
avorton    inghani
avortons    binghani
enfant né avant le terme    muana yu babota
enfant né avant le terme    lüèlè ka li to vè
avouer    emèmè
avouer    eyala
babil    erendili
babils    birendili
badin     mutu yu bundassa mambo la dièsse
farceur    mutu yu bundassa mambo la dièsse
bagage    bela
plier bagage    ekotassa bela
bague    lingassi
bagues    ngassi
baie    lifuta
baies    mafuta
baigner    eyobo
baigner    epuba
baigneur    muyobi
baigeurs    mayobi
baignoire    eyobili
baignoires    biyobili
baîllement    moassala
baîllements    miassala
baîller    emoassa
baionnette    likongo
baionnettes    makongo
baiser    eviva
s'entre baiser    essambana mu maboka
baiser    evivili
baisers    bivivili
baisser    essundassa
décroître    ependassa
baisser    ekèbisse
diminuer le prix    ekèbisse ndjigi
La rivière baisse    Tonbda ayènde
se baisser    ekotuno
se baisser la tête    ekotusso mutchuè
balancement    etshokini
balancements    bitshokini
balancement    etshokili
balancements    bitshokili
balancer    etshokana
balancer    etshokala
balai    ekumbulo
balais    bikumbulo
balayeur    mukumbili
balayeurs    bikumbili
balayage    ekumbili
balayages    bikumbili
balayures    bimbu
balcon    elèmbe
balcon    ndiki
balcons    mandiki
balle( arme à feu)    lishâni
balles( arme à feu)    mashâni
ballot    funda
ballots    bafunda
bambin    pèsa-muana
bambou    mukèkèlè
bambous    mikèkèlè
banane    liko
bananes    mako
petite banane    mbala
petites bananes    bambala
banane mûre    tshudi
bananes mûres    matshudi
banane cuite    tshundsu
bananes cuites    matshundsu
banane cuite    liko lavia
bananes cuites    mako mavia
banane détachée du régime    pali
bananes détachées du régime    mapali
bananier    mubèmba a liko
bananiers    mibèmba
bananier que l'on plante    moaga
bananiers que l'on plante    miaga
banc    tshibagènda
bancs    batshibagenda
banc de sable    ediga si a mondzèï
bander une plaie    ekotala
baptême    batèm
baptiser    ebatissa
barbare    kiri
barbe    ndsèdi
barbes    bindsèdi
pousse    ndzèdi emènè
baril    pèsa-molèga
barrage    edibili si bu diba ndjèla
barre de fer    litali sila
barre de bois    muti
barres de bois    miti
barrer    ediba ndjela
fermer    ediba ndjela
barrettte de cuivre    tsôngo
barrettes de cuivre    matsongo
barricade    murumba
barricades    mirumba
barricader    essa murumba
se barricader    eshuèmine
barrique    molèga
barriques    milèga
rouler une barrique    evingassa molèga
bas    mukubi
basse    mukubi
Parles bas    evovo naboèdi.
parles bas    evovo mukèruno
parles bas    evivo livuavuania
en bas    ghutoto
en bas    tshina
mettre bas    ebota
bataille    mudingu
batailles    midingu
bâtard    muana babota badi-a-badi
né hors mariage    muana babota badi-a-badi
bateau    bungu u a mututu
bâtir    etouga
baton    muti
batons    miti
battement    ebolili
battements    bibolili
battre    ebola
battre    efundja
battre    etukaga
battre le tam-tam    ebète dongu eluana
un chemin battu    ndjèla batuba
bavard    mutu u a erènde
bavarde    mutu u a erènde
bavardage    erènde
bavardages    birènde
bavardage    mambo ma vovo matchuakiri
bavarder    elèlè mambo matchuakiri
bave    likènki
baves    makènki
baver    epossa likènki
beau    bubuè
belle    bubuè
bel    bubuè
beaucoup    ndjoku
beaucoup    y-nènè
grand    y-nènè
nombreux    kuna
gendre    buko
beau-fils    buko
gendres    babuko
beaux-fils    babuko
beau-frère    muntsâli
beaux-frères    bantsâli
beau-père    buko
bêche    lingungu
bêches    mangungu
begaiement    evovili si a lingengèbè
grasseyer    evovo lingengèbè
bégayer    likokana
bègue    mutu yu vovo lingengèbè
bêlement    ekaïli
bêlements    bikaïli
bêler    ekaïa
bélier    mulumi a mandombo
belle-fille    buko
belle-mère    buko
belle-soeur    miontsâli
belliqueux    mukari
belliqueux    bakari
bénédiction    benediksion
bénédiction    bibuè bi a Ndjambi
bénéfice    ebagili
bénéfice    essumbili
bénéfices    bissumbili
bénir    ebenita
bercail    mulôngo a bataba
berger    mukèli a bataba
besoin    iranda
besoin    ndjâla
beuglement    ekaïli
beuglements    bikaïli
beugler    ekaïa
bible    sangangubisi a Ndjambi
biche    mukadi a budi
bien    bubuè
richesse    mitambo
bien    naboèdi
bien    tshitsha
beaucoup    ndjoku
bien que    na bè
bientôt    bolaka
bientôt    pèsu
bigarrer    emanga
bile    ndsôngi
biles    mandsôngi
bisaïeul    kaga
bisaïeulle    kaga
bisaïeux    bakaga
biscuit    dèga
biscuits    badèga
blâme    essembili
blâmes    bissembili
blâmer    essembe


daigner    etonda
daigner    eranda
daigner    eyala
damer    etukaga
damné    mutu u a lanfer
damnée    mutu u a lanfer
damner    eyèlassa ghu mbau y a lanfer
dangeureux    mubi
dangereuse    mubi
dans    ghu
danse    ekèna
danses    bikèna
danseur    mukini
danseuse    mukini
danseurs    bakini
danseuses    bakini
dartre    buadi
dartre    bundassa
de    y a
du    y a
des    ba
des    ma
des    mi
je viens du village    me mata bola
déballer    edibala
débandade    gnari
débarcadère    lissàbo
débarcadères    massàbo
débarquer    epossaga
débauché    evôngola
débauchés    bivôngola
débauché    mutu u a mukali
débaucher    eyèssa nambo ma mabi
déblayer    etota
déblayer    ekombolo
déboisement    essalili
déboisements    bissalili
déboiser    essala
déboiter    epôla
débordement    epogili
débordements    bipogili
déborder    epoga
déborder un vas    eloka
déboucher une bouteille    edibala pamba
déboucher une bouteille    edibala mungèlè
déboucher    edibala
arriver    eshuta
sortir    eshuta
débourrer    epossaga ndjari
débout    mutèlè
débout!    ntèminè
déboutonner    ebèndala
débusquer un ennemi    ebèba
débusquer    ebèba
bédusquer un animal    epundjala
décamper    etora
décapiter    ekèssè kingu
déception    somu
déception    vè
décharge    ebolili
déchargement    epossili si possa bèla
décharger d'un fardeau    eyamassa
décharger    eyamassa
décharger une pirogue    epossa bèla ghu bungu
décharger un fusil    ebola ndjari
décharger le coeur    egnômbosso
décheveler    essaka
déchiqueter    epônda
déchiré    imakakaga
déchirer    ekaka
déchirure    ekakili
déchirures    bikakili
décider    essômba
décision    essômbili
décisions    bissômbili
déclaration    elèlili
déclarer    elèlè
décliner    eyènde
le soleil décline    bushi bu yènde
cet homme décline    mutu yu ngangi eranga
cet homme décline    mutu yu bia-vè
déclouer    eyuba
décoller    eyundala
détacher    eyundala
décomposer    ekalala lilongo likima
décorer quelqu'un    elôatassa
embellir    eyèbisse
découdre    egnangala
découper    ekèssè
décousu    egnanga
décousure    egnangiri
décousures    bignangiri
découvrir    edibala
décrocher    essokala
décrotter    etsoka
dédaigner    ekina
dédain    ekinili
dédains    bikinili
dedans    ghu tshoa
dedans    ghu kate
dédier    evè
dédier à Dieu    evè Ndjambi
dédommagement    efutili
dédommagements    bifutili
dédommager    efuta
défaillance    lindjumbu
défaillances    mandjumbu
défaire    emassa
défaite    ebughi
défaites    bibughi
défaut    ebissili
défauts    bibissili
défaut    ntsèli y bi
défauts    mantsèli ma mabi
défendre    elèga
défense    elègili
défenses    bilègili
défiant    mutu u a marombola
défiante    mutu u a marombola
défier quelqu'un    erambala mutu
défier    erambala
défigurer    ebèssa gnutu
définir    epassala
définir    elèlè
définition    epassili
définitions    bipassili
défoncer    etuba
défoncer un tonneau    etuba molèga
défoncer la terre    esthîma
défricher    efunda
défunt    mutu u a makua
défunte    mutu u a makua
dégat    ebungigi
dégats    bigungigi
dégénérer    ediôbo
dégonfler    evorassa
dégourdir    edèrassa
dégoût    evatili
dégoûts    bivatili
dégoûter    evata
dégoûter    abissi
dégradation    emassili si bu massa mutu kumu a ndè
dégradation    ebèssili si mutu ebèssa gnutu a ndè
dégrader    emassa kumu
se dégrader    ebessa gnutu
dégrossir    epakala
dégrossir une pièce de bois    epakala muti
déguisement    eyèlili
déguisements    biyèlili
déguiser    eyèla
déguster    emèga
dehors    ghu mbadi
déjà    na guagnia
déjeûner    edja bela na nguale
déjeuner    edjilili si bu dja bela na nguale
de là!    emata gona!
délaissement    egnagili
délaissements    bignagili
délassement    evomili
délassements    bivomili
délasser    evoma
délayement    egnigili
délayage    egnigili
délayages    bignigili
délayements    bignigili
délayer    egninga
délégué    ebûndju
délégués    bibûndju
déléguer    etshinda
délibération    kundu
délibérations    makundu
délibérer    essa kundu
délier    egnangala
délivrance    epossili
délivrances    bipossili
délivrer    epossa
demain    m'badi
démancher    ekola
demande    efulili
demandes    bifulili
demandeur    mufuli
demandeurs    mufuli
demarrer    egnangala
déménager    etsamaga
demeurer    eïka
demi    itini
demie    itini
demies    bitini
demoiselle    mukasu u a bupaga
démolir    etsaka
démon    demon
malin esprit    idingi ybi
dénicher des oeufs d'oiseaux    epossa makèï ghu tshoa djo a bo
dénombrement    mutalu
dénombrements    mitalu
dénombrer    etala
dénoncer    essala
dénoncer    egnatala
dénoncer    egnata tshango
dent    dignu
dents    mignu
dépareiller    eshobusso
départ    eyèndili
départs    biyèndili
dépasser    elota
faire mieux    elota
être eu-dessus    elota
dépecer    eshassa
dépêcher    essatshoa-tshoa
De qui dépends-tu?    Kunu u a u na?
Cela ne dépend pas de moi    Diambo la me vè!
dépenser    ekaba
déperir    ebèïa
dépeupler    ekussa
déplacer    essôbo
déplaire    epata vè
déplier    egnangala
déplumer    etshôaka
déposer    essussa
mettre en dépôt    evè ekèlè
déposition    epossili
dépositions    bipossili
dépravation    ebissili
dépravations    bibissili
dépraver    ebèssa
depuis    mata
déraciner    eyuba muti na mikanga
déranger    egnakassa
dernier    issikala
derniere    issikala
dérober    iba tshoa lishuèdè
dérouiller    emassa guianga
derrière    litau
derrières    malitau
dès    si ma
désagréable    diambo li libi
désalterer    emassa pèï
désapprouver    essèmbe
désapprouver    eyala vè
désarmer    epatala litali a libadi
désaveu    etonili
désaveux    bitondili
désavouer    etona
descendant    eyènde banda
descendant    eshûnda
descendre    epênda
descendre    eshûnda
déscente    epêndili
désecente    eshundili
désenfler    evorassa
désennuyer    eshôbusso
désert    tshèngè a vè batu
déserter    ebataga
déserteur    mubatigi
déserteurs    babatigi
désespérer    lilèla vè
déshabiller    epossa mangoï
déshabituer    elèga
déshériter    epundja
deshonnête    mutu yu kala
deshonnête    mutu a makâli
deshonorer    ekôssa
se déshonorer    ebèssa gnutu
désir    egnongili
désirer    egnongala
désobéïr    epèïè
désobéissance    epèïïli
désolation    mudambu
désolationsn    midambu
désoler    edambassa
affliger    edambassa
désordre    egnakissi
désordres    bignakissi
désormais    mata lüèlè lini
dessaler    emassa etumbu
déssecher    ekagnassa
desserer    egnangala
desserer les dents    edibula mignu
dessous    tshina
dessus    ghu yôla
destiner    etuba
destructeur    mubungigi
destructrice    mubungigi
destructeurs    babungigi
destruction    ebungigi
destructions    bibungigi
désunion    pênda
désunions    mapênda
déunir    eduta pênda
détacher    egnangala
déteindre    edimaga
détenir    ekala
détente de fusil    epissili
détentes de fusil    bipissili
déterrer    ekûndala
detestable    bubibubu
détour    mudièngilè
détours    midièngilè
détourner    ekalassa
détruire    ebomaga
dette    tshômbi
